bet_no,Date,P1,P2,pick_side,pick_odds,model_conf,pick_ev,pick_correct,stake_frac,stake_units,pnl_units,bankroll_before,bankroll_after,drawdown_pct
1,2025-01-06,Cobolli F.,Nardi L.,P1,1.49,0.7222629078474594,0.07617173269271449,0,0.03,30.0,-30.0,1000.0,970.0,3.0
2,2025-01-07,Cazaux A.,Walton A.,P1,1.6325,0.6880573183659819,0.12325357223246558,1,0.03,29.099999999999998,18.40575,970.0,988.40575,1.1594249999999988
3,2025-01-07,Duckworth J.,Tu L.,P1,1.69,0.6703516567893391,0.13289429997398294,0,0.03,29.6521725,-29.6521725,988.40575,958.7535775,4.12464225
4,2025-01-07,Tabilo A.,Basavareddy N.,P1,2.0475,0.6181373705252651,0.2656362661504802,0,0.03,28.762607324999998,-28.762607324999998,958.7535775,929.990970175,7.000902982499997
5,2025-01-09,Auger-Aliassime F.,Giron M.,P1,1.6375000000000002,0.6594653033876029,0.07987443429719987,1,0.03,27.89972910525,17.78607730459688,929.990970175,947.777047479597,5.222295252040306
6,2025-01-10,Monfils G.,Basavareddy N.,P1,1.705,0.6477014174245916,0.1043309167089288,1,0.03,28.433311424387906,20.045484554193475,947.777047479597,967.8225320337904,3.2177467966209634
7,2025-01-14,Coric B.,Garin C.,P1,1.8325,0.6022427426130992,0.10360982583850431,0,0.03,29.03467596101371,-29.03467596101371,967.8225320337904,938.7878560727767,6.121214392722334
8,2025-01-14,Rublev A.,Fonseca J.,P1,1.6275000000000002,0.6682977588019154,0.08765460245011747,0,0.03,28.163635682183298,-28.163635682183298,938.7878560727767,910.6242203905933,8.937577960940667
9,2025-01-16,Rune H.,Berrettini M.,P1,2.2075,0.5665451496619212,0.25064841787869097,1,0.03,27.3187266117178,32.98736238364924,910.6242203905933,943.6115827742426,5.63884172257574
10,2025-01-17,Djokovic N.,Machac T.,P1,1.24,0.864904105534552,0.07248109086284446,1,0.03,28.308347483227276,6.7940033959745465,943.6115827742426,950.4055861702171,4.959441382978286
11,2025-01-28,Coric B.,Lestienne C.,P1,1.8800000000000001,0.6144438728856859,0.15515448102508955,0,0.03,28.512167585106514,-28.512167585106514,950.4055861702171,921.8934185851106,7.810658141488943
12,2025-02-03,Arnaldi M.,Eubanks C.,P1,1.8075,0.6112060528174086,0.10475494046746608,1,0.03,27.656802557553316,22.332868065224307,921.8934185851106,944.2262866503348,5.577371334966517
13,2025-02-11,Altmaier D.,Nardi L.,P1,2.0425,0.5608726702868221,0.14558242906083407,1,0.03,28.326788599510042,29.530677114989217,944.2262866503348,973.756963765324,2.624303623467597
14,2025-02-11,Nishikori K.,McDonald M.,P1,1.53,0.7781851853215584,0.19062333354198446,0,0.03,29.21270891295972,-29.21270891295972,973.756963765324,944.5442548523644,5.5455745147635644
15,2025-02-12,Mayot H.,Herbert P.,P1,1.9249999999999998,0.6383042416469448,0.22873566517036859,0,0.03,28.33632764557093,-28.33632764557093,944.5442548523644,916.2079272067934,8.379207279320655
16,2025-02-12,Tien L.,Walton A.,P1,1.4375,0.7579749369643243,0.08958897188621617,1,0.03,27.4862378162038,12.025229044589162,916.2079272067934,928.2331562513826,7.176684374861736
17,2025-02-17,Shevchenko A.,Meligeni Alves F.,P1,2.1575,0.5578599155946149,0.20358276789538177,1,0.03,27.84699468754148,32.232896350829265,928.2331562513826,960.4660526022119,3.953394739778809
18,2025-02-18,Djokovic N.,Berrettini M.,P1,1.29,0.8316197552827884,0.07278948431479709,0,0.03,28.813981578066358,-28.813981578066358,960.4660526022119,931.6520710241456,6.834792897585442
19,2025-02-18,Baez S.,Burruchaga R.,P1,1.355,0.7810729348618495,0.058353826737806036,1,0.03,27.949562130724367,9.92209455640715,931.6520710241456,941.5741655805527,5.842583441944726
20,2025-02-18,Darderi L.,Dellien H.,P1,1.9575,0.6015886406268947,0.17760976402714634,1,0.03,28.24722496741658,27.046717906301378,941.5741655805527,968.6208834868542,3.1379116513145844
21,2025-02-19,Jarry N.,Comesana F.,P1,1.5725000000000002,0.688913497218518,0.08331647437611978,0,0.03,29.058626504605623,-29.058626504605623,968.6208834868542,939.5622569822485,6.043774301775147
22,2025-02-24,Garin C.,Ficovich J.P.,P1,1.5325000000000002,0.7238889862851802,0.10935987148203874,1,0.03,28.186867709467453,15.009507055291424,939.5622569822485,954.57176403754,4.542823596246
23,2025-02-25,Giron M.,Walton A.,P1,1.4874999999999998,0.7257515775087715,0.07955547154429748,1,0.03,28.637152921126198,13.960612049049017,954.57176403754,968.532376086589,3.1467623913410985
24,2025-02-26,Faria J.,Heide G.,P1,2.0,0.5810496156800582,0.1620992313601164,1,0.03,29.055971282597667,29.055971282597667,968.532376086589,997.5883473691866,0.24116526308133646
25,2025-02-26,Coria F.,Barrios M.,P1,2.18,0.5789743151531339,0.262164007033832,1,0.03,29.927650421075597,35.31462749686921,997.5883473691866,1032.902974866056,0.0
26,2025-02-26,Bautista Agut R.,Halys Q.,P1,2.0149999999999997,0.6129422150819048,0.23507856339003808,0,0.03,30.98708924598168,-30.98708924598168,1032.902974866056,1001.9158856200743,3.0
27,2025-02-27,Tsitsipas S.,Berrettini M.,P1,2.4475000000000002,0.5513219593273386,0.34936049545366143,1,0.03,30.057476568602226,43.508197333051726,1001.9158856200743,1045.424082953126,0.0
28,2025-02-27,Rune H.,Nakashima B.,P1,1.6925,0.63264052872406,0.0707440948654714,0,0.025539384427968017,26.699487544795808,-26.699487544795808,1045.424082953126,1018.7245954083301,2.5539384427968037
29,2025-03-05,Cobolli F.,Smith C.,P1,1.7025000000000001,0.6912810818324717,0.1769060418197832,0,0.03,30.5617378622499,-30.5617378622499,1018.7245954083301,988.1628575460802,5.477320289512895
30,2025-03-05,Vukic A.,Boyer T.,P1,1.815,0.611957690885278,0.11070320895677949,0,0.03,29.644885726382405,-29.644885726382405,988.1628575460802,958.5179718196978,8.31300068082751
31,2025-03-07,Lajovic D.,Tu L.,P1,1.8575,0.6243711904108147,0.15976948618808817,1,0.03,28.75553915459093,24.65787482506172,958.5179718196978,983.1758466447595,5.954352623341795
32,2025-03-08,Shapovalov D.,Walton A.,P1,1.2825,0.8202554836428295,0.05197765777192884,1,0.03,29.495275399342784,8.332415300314336,983.1758466447595,991.5082619450739,5.157315761824618
33,2025-03-08,Cerundolo F.,McDonald M.,P1,1.7825,0.6013602723269624,0.0719246854228105,1,0.022979132722942688,22.783999947130077,17.828479958629284,991.5082619450739,1009.3367419037031,3.45193320470319
34,2025-03-09,Tsitsipas S.,Berrettini M.,P1,1.9774999999999998,0.5838143654097909,0.1544929075978615,1,0.03,30.280102257111093,29.598799956326086,1009.3367419037031,1038.9355418600292,0.6206611459311157
35,2025-03-09,Shelton B.,Navone M.,P1,1.295,0.8169328743713872,0.05792807231094632,1,0.03,31.168066255800873,9.194579545461256,1038.9355418600292,1048.1301214054904,0.0
36,2025-03-12,Medvedev D.,Paul T.,P1,1.815,0.6157858974974175,0.11765140395781282,1,0.03,31.44390364216471,25.626781468364236,1048.1301214054904,1073.7569028738546,0.0
37,2025-03-19,Muller A.,Sakamoto R.,P1,1.4649999999999999,0.7254960528052729,0.06285171735972461,1,0.03,32.21270708621564,14.978908795090266,1073.7569028738546,1088.735811668945,0.0
38,2025-03-19,Moutet C.,Blockx A.,P1,1.6575,0.6835902075565259,0.13305076902494162,1,0.03,32.662074350068345,21.475313885169935,1088.735811668945,1110.211125554115,0.0
39,2025-03-20,Cobolli F.,Tirante T.A.,P1,1.635,0.6613305144360964,0.08127539110301757,0,0.03,33.306333766623446,-33.306333766623446,1110.211125554115,1076.9047917874914,3.000000000000008
40,2025-03-20,Martinez P.,Darderi L.,P1,1.5725,0.6832227843795481,0.07436782843683937,0,0.03,32.30714375362474,-32.30714375362474,1076.9047917874914,1044.5976480338666,5.910000000000014
