feature,reason
diff_implied_prob_b365,high_corr
diff_implied_prob_mean,high_corr
diff_norm_prob_mean,high_corr
diff_roll_1st_serve_won_pct_form10,high_corr
diff_roll_1st_serve_won_pct_form20,high_corr
diff_roll_2nd_serve_won_pct_form10,high_corr
diff_roll_2nd_serve_won_pct_form20,high_corr
diff_roll_bp_saved_pct_form10,high_corr
diff_roll_bp_saved_pct_form20,high_corr
diff_roll_bp_conv_pct_form10,high_corr
diff_roll_bp_conv_pct_form20,high_corr
diff_roll_return_pts_won_pct_form10,high_corr
diff_roll_return_pts_won_pct_form20,high_corr
h2h_win_pct_5,high_corr
h2h_surf_win_pct_5,high_corr
