feature,importance
diff_odds_mean,844
diff_roll_bp_saved_pct_form4,291
glicko_surf_r_diff,291
diff_days_rest,288
diff_odds_ps,280
diff_odds_b365,265
diff_implied_prob_ps,262
diff_roll_2nd_serve_won_pct_form4,237
diff_roll_bp_conv_pct_form4,221
diff_roll_return_pts_won_pct_form4,216
glicko_surf_rd_diff,204
diff_roll_bp_saved_pct_trend_10_20,200
diff_roll_1st_serve_won_pct_form4,191
diff_roll_2nd_serve_won_pct_trend_4_20,175
diff_roll_bp_conv_pct_trend_10_20,156
diff_roll_2nd_serve_won_pct_trend_10_20,156
diff_roll_bp_conv_pct_trend_4_20,148
diff_roll_return_pts_won_pct_trend_10_20,145
diff_roll_1st_serve_won_pct_trend_10_20,144
diff_roll_1st_serve_won_pct_trend_4_20,139
diff_roll_bp_saved_pct_trend_4_20,132
diff_roll_return_pts_won_pct_trend_4_20,129
h2h_win_pct_3,58
h2h_surf_win_pct_3,49
diff_surface_change,29
