feature,importance
P1_days_rest,12.17104920342348
P2_days_rest,11.286074117483464
elo_diff,5.04122209640785
elo_surf_diff,4.394241458709984
diff_days_rest,3.797444422784498
glicko_surf_rd_diff,2.4868645755151726
rank_ratio,2.440395040811473
glicko_surf_r_diff,2.4206976986762503
log_rank_diff,1.5899707055398808
glicko_surf_P2_rd,1.5535215963784856
Round,1.2833168767322152
glicko_rd_diff,1.243503792606212
P1_games_lost_avg20,1.151280822543384
diff_won_surf_avg10,1.040658244068893
diff_games_lost_avg3,0.9707873129443156
diff_won_avg20,0.9489102223540129
glicko_P2_rd,0.9085057539159587
P2_won_surf_avg10,0.898510468145212
P2_roll_1st_serve_won_pct,0.8479945958489019
P2_games_won_avg20,0.8075491144789584
glicko_r_diff,0.7919710571872854
diff_games_lost_avg10,0.7833836303968441
glicko_surf_P1_r,0.7733678683882605
diff_games_won_avg3,0.7682085083866359
diff_sets_won_surf_avg10,0.7659051262078627
P2_roll_2nd_serve_won_pct,0.7584256746027003
P1_roll_1st_serve_won_pct,0.697833890425103
diff_games_won_avg10,0.6909943920424232
P2_won_avg20,0.6787316973668123
P2Rank,0.6767460889610004
P2_games_lost_avg5,0.6546021360150256
P2_games_lost_avg20,0.6072589064261537
P2_roll_bp_saved_pct,0.599488129379689
diff_games_lost_avg20,0.5952650444784678
diff_momentum_sets_lost,0.5947545731047232
glicko_P2_r,0.5876875504435922
Location,0.5868491141872905
P1_sets_won_surf_avg10,0.5657211367254558
P1_roll_return_pts_won_pct,0.5436734782410457
glicko_surf_P1_rd,0.5362257821756466
glicko_surf_P2_r,0.5351026837427744
P2_roll_return_pts_won_pct,0.5304157279301241
P1_games_lost_avg10,0.5299895960906488
elo_surf_P2,0.5245707373607379
diff_games_lost_avg5,0.5149842221418566
P2Pts,0.4913987980672603
rank_diff,0.48952076476677986
elo_P2,0.4826615370864294
Series,0.47848498226185826
Tournament,0.4624925281254248
diff_won_avg3,0.45823894401447335
P1Rank,0.4482944430641463
glicko_P1_r,0.44612637803395094
P2_sets_won_surf_avg5,0.44142061143782907
P1_games_won_avg3,0.44128956016421483
diff_won_avg10,0.4400824424052442
P2_won_surf_avg5,0.4393959656106729
P2_momentum_won,0.42748507283176024
diff_sets_lost_avg20,0.4221167387651732
P2_games_lost_avg3,0.41996126797452155
diff_games_won_surf_avg5,0.4144587470802307
P1_games_won_surf_avg10,0.41276694051599505
P2_momentum_games_lost,0.412495008543185
P1_roll_bp_saved_pct,0.4076487935395568
P2_games_won_surf_avg5,0.40621282734759306
P1_won_avg5,0.4032859835780363
P2_games_won_surf_avg10,0.4027860999502314
glicko_P1_rd,0.4010656460339992
diff_games_won_surf_avg10,0.3923512864768387
P2_roll_bp_conv_pct,0.3806102595889455
P2_momentum_games_won,0.37237852759607615
P1_momentum_games_won,0.36909475537807185
diff_surface_change,0.36779984049132347
P2_games_won_avg10,0.3671093106087307
P1_games_won_avg20,0.3578525690602598
P1_games_won_avg5,0.35685999508213145
P1_roll_bp_conv_pct,0.3436910776257141
P1_momentum_sets_lost,0.34107719050687185
P2_games_lost_avg10,0.3352497610219829
P1_momentum_won,0.329945242454561
P2_games_won_avg3,0.3296508965230605
diff_games_won_avg20,0.32840165947947914
P2_sets_won_surf_avg10,0.3282447070730882
P1_roll_2nd_serve_won_pct,0.3176406477080309
elo_surf_P1,0.31694340809476895
P1Pts,0.31189774578947616
elo_P1,0.3100646662447956
P1_games_won_surf_avg5,0.30769363582640946
P2_won_avg3,0.30401202314598086
diff_sets_won_surf_avg5,0.3029191594870531
diff_games_won_avg5,0.2850019980478337
diff_Pts,0.2765355144306916
diff_won_surf_avg5,0.2707851299643549
P2_sets_won_avg10,0.266891696884714
P1_won_surf_avg5,0.25929092089094546
diff_sets_won_avg10,0.24562550887980583
diff_sets_lost_avg10,0.24073919548645906
P1_momentum_games_lost,0.23501549225161303
diff_sets_won_avg20,0.22647472662749477
diff_momentum_won,0.2258206851375498
P1_games_won_avg10,0.22451381943235965
P2_games_won_avg5,0.22360344001327134
P1_games_lost_avg5,0.21946455415251587
P1_sets_lost_avg5,0.21250868143137502
diff_momentum_games_won,0.20834122848861442
P1_sets_lost_avg3,0.20713975004099455
P1_sets_lost_avg10,0.20657402034824926
diff_sets_lost_avg5,0.2054557791401775
P1_games_lost_avg3,0.19829352992428756
P1_sets_won_avg20,0.19573712193331272
P2_sets_lost_avg3,0.1927478103698719
Best of,0.18914610775484414
P2_momentum_sets_lost,0.18847964545706503
P2_surface_change,0.18431657618988354
Surface,0.17817593618210179
diff_momentum_games_lost,0.1733511458455721
P1_sets_won_surf_avg5,0.1727299687524816
P2_momentum_sets_won,0.17198485698003896
diff_sets_lost_avg3,0.16816617282150093
diff_momentum_sets_won,0.166366441003436
P1_sets_lost_avg20,0.1574757402211058
P1_won_avg10,0.15699818259324694
P1_momentum_sets_won,0.15686401399353403
P1_won_avg3,0.15676317895385344
P1_won_surf_avg10,0.1559694654542314
best_of,0.15240893881745507
diff_won_avg5,0.1487998370676797
P2_sets_won_avg20,0.13343427959918752
P2_won_avg10,0.13233296820392243
P1_won_avg20,0.13200448580848126
P2_sets_lost_avg20,0.12997754213981091
diff_sets_won_avg5,0.12993301546102576
P2_prev_surface_enc,0.12569499288086713
P1_prev_surface_enc,0.09937714770678266
P1_sets_won_avg10,0.09577906747171541
P2_sets_lost_avg10,0.09315842677516693
P2_won_avg5,0.09157771634586924
P1_sets_won_avg3,0.08133659231887237
P1_sets_won_avg5,0.07759363690230618
