feature,importance
diff_odds_mean,966
diff_days_rest,818
diff_odds_ps,543
glicko_surf_rd_diff,497
diff_odds_b365,490
glicko_surf_r_diff,486
diff_implied_prob_ps,480
diff_roll_bp_conv_pct_form4,440
diff_roll_bp_saved_pct_form4,426
diff_roll_return_pts_won_pct_form4,409
diff_roll_2nd_serve_won_pct_trend_10_20,394
diff_roll_1st_serve_won_pct_form4,370
diff_roll_2nd_serve_won_pct_form4,357
diff_roll_bp_saved_pct_trend_10_20,319
diff_roll_2nd_serve_won_pct_trend_4_20,300
diff_roll_return_pts_won_pct_trend_10_20,296
diff_roll_bp_conv_pct_trend_4_20,278
diff_roll_1st_serve_won_pct_trend_10_20,272
diff_roll_bp_conv_pct_trend_10_20,261
diff_roll_1st_serve_won_pct_trend_4_20,251
diff_roll_return_pts_won_pct_trend_4_20,250
diff_roll_bp_saved_pct_trend_4_20,229
h2h_win_pct_3,110
h2h_surf_win_pct_3,70
diff_surface_change,48
