feature,importance
diff_days_rest,681
glicko_surf_rd_diff,647
glicko_surf_r_diff,645
diff_roll_return_pts_won_pct_form4,227
diff_roll_2nd_serve_won_pct_form4,207
h2h_win_pct_3,196
diff_roll_bp_saved_pct_form4,170
diff_roll_2nd_serve_won_pct_trend_10_20,151
diff_roll_bp_conv_pct_trend_4_20,144
diff_roll_bp_conv_pct_form4,140
diff_roll_1st_serve_won_pct_form4,128
diff_roll_bp_conv_pct_trend_10_20,128
diff_roll_bp_saved_pct_trend_10_20,125
diff_roll_2nd_serve_won_pct_trend_4_20,118
diff_roll_return_pts_won_pct_trend_10_20,112
diff_roll_return_pts_won_pct_trend_4_20,102
diff_roll_1st_serve_won_pct_trend_10_20,81
diff_roll_bp_saved_pct_trend_4_20,81
diff_roll_1st_serve_won_pct_trend_4_20,53
h2h_surf_win_pct_3,47
diff_surface_change,47
