conf,edge,min_odds,bets,roi_pct,hit_rate_pct
0.72,0.06,1.35,215,12.045581395348837,68.37209302325581
0.74,0.06,1.35,169,11.482544378698227,68.04733727810651
0.72,0.05,1.35,258,10.662984496124032,68.9922480620155
0.72,0.06,1.0,265,9.929622641509434,70.18867924528301
0.72,0.06,1.3,247,9.836437246963563,68.82591093117408
0.72,0.04,1.35,302,9.624668874172183,69.5364238410596
0.74,0.04,1.35,220,9.234545454545456,69.0909090909091
0.74,0.06,1.0,219,9.05068493150685,70.31963470319634
0.74,0.06,1.3,201,8.857462686567166,68.65671641791045
0.72,0.05,1.3,300,8.809333333333335,69.66666666666667
0.74,0.05,1.35,193,8.483160621761657,67.35751295336787
0.72,0.05,1.0,329,8.27112462006079,70.82066869300911
0.72,0.04,1.3,350,7.795428571428571,70.0
0.7,0.06,1.35,297,7.2862514029180705,65.31986531986533
0.7,0.05,1.35,356,7.180056179775282,66.57303370786516
0.74,0.04,1.3,268,6.915485074626862,69.77611940298507
0.74,0.05,1.3,235,6.506382978723404,68.51063829787233
0.7,0.04,1.35,424,6.40141509433962,67.21698113207547
0.7,0.06,1.0,347,6.356099903938521,67.14697406340058
0.72,0.04,1.0,398,6.282202680067002,70.85427135678391
0.7,0.05,1.3,398,6.150376884422109,67.33668341708542
0.7,0.06,1.3,329,6.090628166160079,65.95744680851064
0.74,0.05,1.0,264,6.088636363636366,70.07575757575758
0.69,0.05,1.35,407,5.994103194103194,65.6019656019656
0.7,0.05,1.0,427,5.916276346604216,68.38407494145198
0.69,0.04,1.35,481,5.744802494802493,66.52806652806653
0.69,0.06,1.35,340,5.6103431372549,64.11764705882354
0.7,0.04,1.3,472,5.372775423728815,67.79661016949152
0.69,0.05,1.3,449,5.192316258351894,66.36971046770601
0.74,0.04,1.0,316,5.14324894514768,70.88607594936708
0.69,0.05,1.0,478,5.041317991631798,67.36401673640168
0.69,0.06,1.0,390,4.997606837606838,65.8974358974359
0.69,0.04,1.3,529,4.886578449905482,67.10775047258979
0.69,0.06,1.3,372,4.697087813620071,64.78494623655914
0.7,0.04,1.0,520,4.438205128205128,68.65384615384616
0.69,0.04,1.0,577,4.084777585210861,67.93760831889082
