number,value,state,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_min_data_in_leaf,params_random_strength,user_attrs_best_iteration,duration
0,0.6052125114122974,COMPLETE,1.0,254,6,3.0,1,0.03,1,1.0,970.0,0 days 00:01:16.062998
1,0.6064310176108425,COMPLETE,0.7800932022121826,254,10,12.057126287443763,8,0.019906996673933378,61,0.24810409748678125,670.0,0 days 00:05:27.011053
2,0.6061477271449099,COMPLETE,0.9091248360355031,254,10,16.967533607196547,3,0.005394455304087533,44,0.0070689749506246055,2863.0,0 days 00:18:20.214154
3,0.6067075339738208,PRUNED,2.28034992108518,64,4,2.701052774960547,1,0.04777437867054351,60,0.029204338471814112,718.0,0 days 00:00:36.133272
4,0.6058202385847684,COMPLETE,4.828160165372797,64,5,1.2476394272569447,5,0.04702115628087815,69,6.245139574743075,690.0,0 days 00:00:57.256936
5,0.606096284920678,PRUNED,1.2938999080000846,64,7,1.1240768803005543,2,0.007843006551565005,55,4.337920697490942,3066.0,0 days 00:04:33.518845
6,0.6085319524505891,COMPLETE,2.9894998940554256,64,9,24.42046084491142,4,0.17877333612826407,5,3.7958531426706403,88.0,0 days 00:00:34.071844
7,0.6060000267672554,PRUNED,1.4046725484369038,254,5,16.755052359850303,10,0.02097269976216845,8,0.026730883107816707,1300.0,0 days 00:01:58.484116
8,0.6068159796976346,PRUNED,3.534286719238086,128,5,1.0189592979395135,2,0.08632815369661433,36,1.8274508859816028,364.0,0 days 00:00:30.961416
9,0.6072479882318914,COMPLETE,1.554911608578311,128,8,3.0816017044468054,5,0.1207017234656905,89,0.0017956984225677636,80.0,0 days 00:00:29.375955
10,0.6058562305876211,COMPLETE,3.854835899772805,128,8,13.297554090738672,2,0.007772615081694643,3,0.17583640270008521,2365.0,0 days 00:04:51.902886
11,0.6058379282872169,COMPLETE,4.537832369630465,254,8,2.9130095015495914,1,0.005614633922822615,23,0.1082138291061399,3108.0,0 days 00:06:31.230499
12,0.6054379257979762,COMPLETE,3.1670187825521174,64,5,23.619797107806516,6,0.014560262826662182,90,1.7079750342958235,2734.0,0 days 00:03:13.887111
13,0.6094416959066414,COMPLETE,1.1396758127097084,254,10,2.949372944095385,6,0.09829639089252526,1,0.002755546207779663,46.0,0 days 00:01:14.692943
14,0.6057563736653016,PRUNED,4.714548519562596,254,5,1.5033346993841157,10,0.023317794601028247,37,0.022410971619109515,1219.0,0 days 00:01:49.819655
15,0.6060988184927218,PRUNED,1.424202471887338,128,5,5.426206745606971,3,0.17412787871290497,6,0.015977662354833867,119.0,0 days 00:00:16.905923
16,0.6071326098219102,PRUNED,4.928252270553004,254,5,1.6369193980425034,8,0.14258257107701272,24,0.09074256288983863,168.0,0 days 00:00:24.077019
17,0.6066619279417257,PRUNED,0.4514488502720415,64,8,8.62581622692092,6,0.019416933657651313,5,0.1390268671103501,745.0,0 days 00:01:43.639827
18,0.6065723932269055,COMPLETE,3.2258639520472494,128,4,5.707205898008383,2,0.060879175210682306,94,0.008053471030316102,528.0,0 days 00:00:32.270571
19,0.6057315654984134,COMPLETE,1.289708138575778,128,4,23.22119672134762,3,0.01759457414526544,53,3.2311521854410987,2708.0,0 days 00:02:22.140748
20,0.6054587989397456,COMPLETE,1.6951489552435035,254,10,21.380932890222198,8,0.007048979113298945,89,0.3407264348530192,2431.0,0 days 00:17:16.193096
21,0.6054445836425553,PRUNED,3.0321452982979498,254,4,1.7327871113349946,2,0.053400241093932196,1,3.928409513479229,946.0,0 days 00:00:54.607929
22,0.6061896660052614,PRUNED,3.560896106737679,254,8,9.183872243992983,9,0.03785074693636032,65,0.007890004262668575,301.0,0 days 00:01:09.053982
23,0.6070540627280933,PRUNED,1.3260118384086272,128,7,1.3752099014456878,7,0.056559467094923564,90,0.029570809414943493,309.0,0 days 00:00:49.622920
24,0.607496211651984,PRUNED,0.9762149389902225,64,7,7.114706514580522,2,0.09382215291844212,65,0.09334064019986364,185.0,0 days 00:00:28.943723
25,0.610031889668294,COMPLETE,0.07728308264433714,254,10,22.45771861298041,9,0.16056137395160633,97,0.03024369161272648,25.0,0 days 00:01:13.531814
26,0.6058915400008983,PRUNED,0.8474637334304624,128,6,18.081400596781233,1,0.014814765919674091,58,0.018522006003174385,2392.0,0 days 00:02:48.504600
27,0.6074175219767262,PRUNED,4.386865359639777,64,10,1.6103529616948882,3,0.048333525767266496,36,0.118390978347577,186.0,0 days 00:01:16.802545
