number,value,state,params_colsample_bytree,params_extra_trees,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_num_leaves,params_path_smooth,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_best_iteration,duration
0,0.604065099872527,COMPLETE,0.85,False,0.02,255,-1,60,0.001,0.0,63,0.0,0.1,3.0,0.8,1,344.0,0 days 00:00:23.930383
1,0.6059078940877648,COMPLETE,0.9330880728874675,False,0.015355286838886862,511,10,124,0.0006026889128682511,0.010292247147901223,244,1.9398197043239886,0.002570603566117598,0.023585940584142682,0.5779972601681014,0,403.0,0 days 00:00:48.097243
2,0.6128835038954636,PRUNED,0.728034992108518,True,0.02408207265453543,511,6,126,0.0004982752357076451,0.2571172192068058,119,1.184829137724085,0.1165691561324743,6.267062696005991e-07,0.6460723242676091,2,,0 days 00:00:03.656952
3,0.6102294032607616,PRUNED,0.7475884550556351,True,0.09021655603568132,511,6,28,0.2637333993381525,0.12938999080000846,209,1.325044568707964,2.039373116525212e-08,1.527156759251193,0.7200762468698007,0,,0 days 00:00:09.841489
4,0.6071053165882214,COMPLETE,0.522613644455269,False,0.050984839695857445,511,12,124,4.067908494359541,0.13567451588694796,241,1.6574750183038587,8.471746987003668e-06,3.148441347423712e-05,0.5442462510259598,1,63.0,0 days 00:00:14.424552
5,0.6044221978544092,COMPLETE,0.8645035840204937,False,0.00625118897540056,127,10,47,0.00010656401760606463,0.1792328642721363,252,0.23173811905025943,0.08738424135626986,4.638759594322625e-08,0.9077307142274171,5,760.0,0 days 00:01:08.107739
6,0.6128644041722682,PRUNED,0.8803925243084487,False,0.01324473460368133,511,9,179,0.022965432344634346,0.24689779818219537,190,1.0454656587639881,0.0011258869313624915,0.08683696167603723,0.5597971229691509,5,,0 days 00:00:06.703727
7,0.6076687590665439,COMPLETE,0.5384899549143964,True,0.012822023397146819,511,12,57,0.011269758643814657,0.46484882617128653,137,1.616240759128834,4.052873758065144e-06,2.824825241715838e-07,0.8777755692715243,1,2124.0,0 days 00:02:13.880074
8,0.6078224160994453,COMPLETE,0.9090073829612466,False,0.025157671328351613,255,12,70,0.000355025561231308,0.25537365128878287,209,0.834822006297558,0.557924264150636,1.1549659339590204e-08,0.6139675812709708,3,155.0,0 days 00:00:22.829328
9,0.6082457184561691,COMPLETE,0.6504391549083848,True,0.023655501778132408,127,7,195,6.489877132084344,0.3047821669899484,184,1.005358046457723,3.660702614351293e-06,2.147744058054667e-08,0.6258911479126821,3,807.0,0 days 00:00:36.558389
10,0.6042948681839044,COMPLETE,0.6838915663596266,False,0.021665201216480946,511,6,138,0.6428328717564114,0.26788734203737924,252,0.1805795401088166,0.00490628164601872,0.005032310118297565,0.6188187719961998,5,347.0,0 days 00:00:20.995324
11,0.6042669952527244,COMPLETE,0.6933676731502687,False,0.03806287275340391,511,8,53,0.16821470258034152,0.17053317552512925,18,0.22694704248117814,2.6950690621944617,1.7285760734977495e-07,0.5871832145024958,5,348.0,0 days 00:00:20.839694
12,0.6092174729556903,PRUNED,0.6695148955243504,False,0.026381708285793885,511,6,27,3.0625189859246733,0.44855512997628855,142,1.7741728485302346,1.3895883726793775e-05,0.03416654859330391,0.9502090285816652,5,,0 days 00:00:05.532580
13,0.6086379392337918,PRUNED,0.8459475988463466,True,0.03075759692088437,255,4,136,0.0001060005013210028,0.35608961067376793,17,0.47449817499360014,0.007373120564908835,1.043335020558628e-06,0.5804040257087493,4,,0 days 00:00:32.885598
