threshold,qualified_matches,coverage_pct,accuracy_pct,p1_pick_share_pct
0.5,3537,100.0,66.98,88.41
0.51,3412,96.47,67.64,89.54
0.52,3265,92.31,68.48,90.63
0.53,3139,88.75,69.29,91.43
0.54,3014,85.21,69.94,92.44
0.55,2895,81.85,70.78,92.99
0.56,2780,78.6,71.58,93.67
0.57,2674,75.6,72.14,94.09
0.58,2524,71.36,72.94,94.93
0.59,2381,67.32,73.5,95.46
0.6,2268,64.12,73.77,96.38
0.61,2172,61.41,73.94,96.78
0.62,2053,58.04,74.48,97.22
0.63,1937,54.76,75.01,98.04
0.64,1837,51.94,75.67,98.09
0.65,1731,48.94,76.14,98.15
0.66,1635,46.23,76.7,98.47
0.67,1543,43.62,77.32,99.03
0.68,1438,40.66,78.44,99.37
0.69,1323,37.4,78.91,99.85
0.7,1216,34.38,79.19,99.92
0.71,1120,31.67,79.73,99.91
0.72,1022,28.89,80.72,99.9
0.73,927,26.21,81.34,99.89
0.74,836,23.64,81.7,100.0
0.75,751,21.23,83.89,100.0
