threshold,qualified_matches,coverage_pct,accuracy_pct,p1_pick_share_pct
0.5,3488,100.0,67.86,82.97
0.51,3488,100.0,67.86,82.97
0.52,3282,94.09,68.74,81.9
0.53,3185,91.31,69.7,84.4
0.54,3185,91.31,69.7,84.4
0.55,3101,88.9,70.24,84.01
0.56,2779,79.67,71.25,82.15
0.57,2662,76.32,71.45,81.37
0.58,2472,70.87,73.14,87.62
0.59,2472,70.87,73.14,87.62
0.6,2366,67.83,73.8,87.07
0.61,2366,67.83,73.8,87.07
0.62,1732,49.66,77.42,91.69
0.63,1731,49.63,77.41,91.74
0.64,1731,49.63,77.41,91.74
0.65,1731,49.63,77.41,91.74
0.66,1729,49.57,77.39,91.84
0.67,1559,44.7,77.49,90.96
0.68,1559,44.7,77.49,90.96
0.69,1558,44.67,77.47,91.01
0.7,1558,44.67,77.47,91.01
0.71,1254,35.95,78.55,88.92
0.72,1151,33.0,80.19,87.92
0.73,1151,33.0,80.19,87.92
0.74,1050,30.1,82.57,96.19
0.75,1049,30.07,82.55,96.19
