threshold,qualified_matches,coverage_pct,accuracy_pct,p1_pick_share_pct
0.5,3488,100.0,66.06,90.85
0.51,3376,96.79,66.41,91.91
0.52,3268,93.69,66.92,93.08
0.53,3149,90.28,67.67,94.22
0.54,3022,86.64,68.1,94.97
0.55,2934,84.12,68.34,95.64
0.56,2840,81.42,68.7,96.27
0.57,2714,77.81,69.16,96.98
0.58,2583,74.05,69.73,97.6
0.59,2437,69.87,70.46,97.83
0.6,2276,65.25,71.18,98.24
0.61,2147,61.55,71.96,98.79
0.62,2028,58.14,72.39,99.06
0.63,1918,54.99,73.46,99.53
0.64,1838,52.69,73.29,99.84
0.65,1742,49.94,73.54,99.89
0.66,1642,47.08,73.93,99.94
0.67,1522,43.64,74.57,100.0
0.68,1414,40.54,75.25,100.0
0.69,1311,37.59,75.36,100.0
0.7,1197,34.32,75.86,100.0
0.71,1114,31.94,76.39,100.0
0.72,1004,28.78,76.99,100.0
0.73,899,25.77,78.2,100.0
0.74,787,22.56,78.91,100.0
0.75,694,19.9,79.39,100.0
