threshold,bets,hit_rate_pct,roi_pct,avg_edge_pct,avg_ev_pct
0.5,437,50.57,-3.49,7.64,15.75
0.51,395,51.39,-4.23,7.54,15.19
0.52,348,54.31,-0.35,7.5,14.78
0.53,308,56.82,2.72,7.54,14.6
0.54,283,56.89,0.63,7.41,14.04
0.55,245,59.59,3.25,7.36,13.56
0.56,227,59.47,1.3,7.25,13.06
0.57,216,60.19,1.55,7.11,12.61
0.58,195,60.0,-0.97,6.95,11.99
0.59,182,60.99,-0.44,6.91,11.79
0.6,169,62.13,0.53,6.92,11.69
0.61,157,62.42,-0.51,6.92,11.5
0.62,142,64.08,0.53,6.73,10.91
0.63,133,64.66,0.64,6.77,10.9
0.64,120,66.67,2.68,6.83,10.89
0.65,109,66.06,0.1,6.78,10.6
0.66,100,65.0,-2.69,6.85,10.63
0.67,90,66.67,-1.33,6.9,10.6
0.68,78,66.67,-2.98,6.98,10.59
0.69,66,66.67,-5.09,6.94,10.38
0.7,60,66.67,-6.21,6.92,10.27
0.71,56,67.86,-4.96,6.89,10.15
0.72,50,70.0,-2.75,6.88,10.06
0.73,41,75.61,4.08,7.2,10.49
0.74,35,77.14,4.6,6.81,9.53
0.75,32,81.25,9.8,6.66,9.2
