n_last_seasons,train_seasons,valid_seasons,test_seasons,threshold,bets,hit_rate_pct,roi_pct,final_bankroll,roi_on_bankroll_pct,max_drawdown_pct,test_ece_cal,test_accuracy,test_auc,calib_used,clv_available
12,2015-2024,2025-2025,2026-2026,0.55,61,63.93,17.19,1318.16,31.82,15.07,0.12541,0.7385,0.6351,blend_odds_noodds_w0.50,0
12,2015-2024,2025-2025,2026-2026,0.6,36,72.22,24.42,1278.75,27.88,9.68,0.12541,0.7385,0.6351,blend_odds_noodds_w0.50,0
12,2015-2024,2025-2025,2026-2026,0.65,17,58.82,-3.88,975.35,-2.47,11.47,0.12541,0.7385,0.6351,blend_odds_noodds_w0.50,0
12,2015-2024,2025-2025,2026-2026,0.69,11,63.64,2.39,1004.72,0.47,8.73,0.12541,0.7385,0.6351,blend_odds_noodds_w0.50,0
12,2015-2024,2025-2025,2026-2026,0.7,11,63.64,2.39,1004.72,0.47,8.73,0.12541,0.7385,0.6351,blend_odds_noodds_w0.50,0
16,2011-2023,2024-2024,2025-2026,0.55,202,54.46,-1.61,827.16,-17.28,39.47,0.03435,0.6772,0.6543,blend_odds_noodds_w0.50,0
16,2011-2023,2024-2024,2025-2026,0.6,118,53.39,-12.78,619.49,-38.05,47.81,0.03435,0.6772,0.6543,blend_odds_noodds_w0.50,0
16,2011-2023,2024-2024,2025-2026,0.65,76,59.21,-8.24,806.69,-19.33,28.58,0.03435,0.6772,0.6543,blend_odds_noodds_w0.50,0
16,2011-2023,2024-2024,2025-2026,0.69,42,66.67,-1.08,977.19,-2.28,14.45,0.03435,0.6772,0.6543,blend_odds_noodds_w0.50,0
16,2011-2023,2024-2024,2025-2026,0.7,38,68.42,1.03,1003.42,0.34,11.8,0.03435,0.6772,0.6543,blend_odds_noodds_w0.50,0
20,2007-2022,2023-2024,2025-2026,0.55,222,59.01,4.43,1236.93,23.69,34.92,0.02811,0.6792,0.659,blend_odds_noodds_w0.50,0
20,2007-2022,2023-2024,2025-2026,0.6,153,63.4,5.81,1230.86,23.09,24.18,0.02811,0.6792,0.659,blend_odds_noodds_w0.50,0
20,2007-2022,2023-2024,2025-2026,0.65,93,64.52,2.1,1030.69,3.07,23.3,0.02811,0.6792,0.659,blend_odds_noodds_w0.50,0
20,2007-2022,2023-2024,2025-2026,0.69,54,66.67,1.65,1013.67,1.37,14.33,0.02811,0.6792,0.659,blend_odds_noodds_w0.50,0
20,2007-2022,2023-2024,2025-2026,0.7,49,63.27,-4.54,924.3,-7.57,16.83,0.02811,0.6792,0.659,blend_odds_noodds_w0.50,0
25,2002-2022,2023-2024,2025-2026,0.55,380,62.11,8.04,2141.58,114.16,39.47,0.03251,0.68,0.657,blend_odds_noodds_w0.50,0
25,2002-2022,2023-2024,2025-2026,0.6,269,62.83,1.55,1085.41,8.54,33.66,0.03251,0.68,0.657,blend_odds_noodds_w0.50,0
25,2002-2022,2023-2024,2025-2026,0.65,186,67.2,2.85,1129.63,12.96,29.68,0.03251,0.68,0.657,blend_odds_noodds_w0.50,0
25,2002-2022,2023-2024,2025-2026,0.69,121,72.73,7.12,1263.37,26.34,21.82,0.03251,0.68,0.657,blend_odds_noodds_w0.50,0
25,2002-2022,2023-2024,2025-2026,0.7,103,74.76,8.35,1269.71,26.97,23.06,0.03251,0.68,0.657,blend_odds_noodds_w0.50,0
