profile,n_last,min_year,train_seasons,valid_seasons,test_seasons,n_features,calib_used,test_logloss,test_ece,best_value_threshold,best_value_roi_pct,best_value_bets,best_bank_threshold,best_bank_roi_pct,best_bank_dd_pct,best_bank_final
rolling_only,20,1990,2007-2022,2023-2024,2025-2026,15,raw,0.63077,0.01969,0.72,23.01,46,0.55,2130.84,85.6,22308.43
rolling_only,20,1985,2007-2022,2023-2024,2025-2026,15,raw,0.63077,0.01969,0.72,23.01,46,0.55,2130.84,85.6,22308.43
rolling_only,16,2000,2011-2023,2024-2024,2025-2026,15,raw,0.62963,0.0112,0.75,33.0,19,0.56,2065.44,81.34,21654.43
rolling_only,16,2000,2011-2023,2024-2024,2025-2026,15,raw,0.62963,0.0112,0.75,33.0,19,0.56,2065.44,81.34,21654.43
core_plus_odds,59,1968,1968-2014,2015-2020,2021-2026,9,raw,0.59074,0.01672,0.6,14.54,393,0.6,220.57,29.17,3205.7
core_plus_odds,59,1968,1968-2014,2015-2020,2021-2026,9,raw,0.59074,0.01672,0.6,14.54,393,0.6,220.57,29.17,3205.7
core_only,24,1995,2003-2022,2023-2024,2025-2026,6,raw,0.62238,0.02849,0.74,8.95,216,0.74,68.38,14.81,1683.76
core_only,24,1985,2003-2022,2023-2024,2025-2026,6,raw,0.62238,0.02849,0.74,8.95,216,0.74,68.38,14.81,1683.76
rolling_only,27,2000,2000-2020,2021-2023,2024-2026,15,raw,0.64348,0.00308,0.67,26.74,66,0.67,65.3,13.13,1653.02
rolling_only,27,2000,2000-2020,2021-2023,2024-2026,15,raw,0.64348,0.00308,0.67,26.74,66,0.67,65.3,13.13,1653.02
rolling_only,27,1995,2000-2020,2021-2023,2024-2026,15,raw,0.64348,0.00308,0.67,26.74,66,0.67,65.3,13.13,1653.02
rolling_only,27,1968,2000-2020,2021-2023,2024-2026,15,raw,0.64348,0.00308,0.67,26.74,66,0.67,65.3,13.13,1653.02
no_odds,16,2000,2011-2023,2024-2024,2025-2026,21,raw,0.62099,0.02537,0.74,8.75,191,0.65,62.57,57.25,1625.73
core_plus_rolling,16,1995,2011-2023,2024-2024,2025-2026,21,raw,0.62099,0.02537,0.74,8.75,191,0.65,62.57,57.25,1625.73
no_odds,16,1975,2011-2023,2024-2024,2025-2026,21,raw,0.62099,0.02537,0.74,8.75,191,0.65,62.57,57.25,1625.73
core_plus_rolling,20,1968,2007-2022,2023-2024,2025-2026,21,raw,0.6213,0.02929,0.75,8.55,191,0.75,55.22,26.74,1552.23
no_odds,20,1980,2007-2022,2023-2024,2025-2026,21,raw,0.6213,0.02929,0.75,8.55,191,0.75,55.22,26.74,1552.23
no_odds,20,1980,2007-2022,2023-2024,2025-2026,21,raw,0.6213,0.02929,0.75,8.55,191,0.75,55.22,26.74,1552.23
core_plus_rolling,20,1995,2007-2022,2023-2024,2025-2026,21,raw,0.6213,0.02929,0.75,8.55,191,0.75,55.22,26.74,1552.23
core_plus_rolling,20,1968,2007-2022,2023-2024,2025-2026,21,raw,0.6213,0.02929,0.75,8.55,191,0.75,55.22,26.74,1552.23
core_plus_rolling,24,1995,2003-2022,2023-2024,2025-2026,21,isotonic,0.62926,0.02762,0.75,10.1,97,0.73,52.31,23.94,1523.1
no_odds,24,1980,2003-2022,2023-2024,2025-2026,21,isotonic,0.62926,0.02762,0.75,10.1,97,0.73,52.31,23.94,1523.1
no_odds,24,1990,2003-2022,2023-2024,2025-2026,21,isotonic,0.62926,0.02762,0.75,10.1,97,0.73,52.31,23.94,1523.1
rolling_plus_odds,35,1975,1992-2018,2019-2022,2023-2026,19,raw,0.59052,0.01528,0.56,7.51,230,0.56,48.43,19.93,1484.34
rolling_plus_odds,35,1975,1992-2018,2019-2022,2023-2026,19,raw,0.59052,0.01528,0.56,7.51,230,0.56,48.43,19.93,1484.34
rolling_plus_odds,42,1985,1985-2018,2019-2022,2023-2026,19,raw,0.58943,0.01336,0.56,11.01,115,0.56,40.45,13.83,1404.51
core_only,20,1975,2007-2022,2023-2024,2025-2026,6,raw,0.62242,0.02982,0.73,6.29,199,0.73,37.42,30.39,1374.24
core_only,20,2000,2007-2022,2023-2024,2025-2026,6,raw,0.62242,0.02982,0.73,6.29,199,0.73,37.42,30.39,1374.24
