threshold,bets,final_bankroll,profit_units,roi_on_bankroll_pct,yield_on_staked_pct,max_drawdown_pct,avg_stake_pct,total_staked
0.5,131,1417.92,417.92,41.79,9.74,19.83,2.86,4290.43
0.51,113,1232.78,232.78,23.28,6.64,15.76,2.88,3506.79
0.52,104,1105.88,105.88,10.59,3.49,22.32,2.89,3031.23
0.53,90,1191.37,191.37,19.14,6.65,20.54,2.91,2879.37
0.54,88,1186.22,186.22,18.62,6.74,18.08,2.91,2764.55
0.55,82,1105.86,105.86,10.59,4.35,14.85,2.91,2435.79
0.56,76,1179.97,179.97,18.0,7.83,12.61,2.92,2297.18
0.57,73,1287.57,287.57,28.76,12.29,12.61,2.92,2339.68
0.58,68,1173.5,173.5,17.35,8.31,14.79,2.93,2087.45
0.59,64,1190.18,190.18,19.02,9.39,13.74,2.95,2024.96
0.6,56,1016.25,16.25,1.62,0.98,17.2,2.95,1664.09
0.61,49,1013.05,13.05,1.3,0.93,19.26,2.96,1405.04
0.62,46,938.92,-61.08,-6.11,-4.96,21.6,2.96,1231.81
0.63,42,896.34,-103.66,-10.37,-9.32,22.68,2.98,1112.17
0.64,37,851.1,-148.9,-14.89,-16.05,29.11,2.99,927.71
0.65,34,839.31,-160.69,-16.07,-18.63,26.67,2.99,862.38
0.66,31,831.57,-168.43,-16.84,-21.79,28.05,3.0,773.06
0.67,27,808.67,-191.33,-19.13,-27.99,25.82,3.0,683.56
0.68,22,891.78,-108.22,-10.82,-17.99,16.31,3.0,601.58
0.69,17,896.56,-103.44,-10.34,-21.75,13.01,3.0,475.6
0.7,14,892.41,-107.59,-10.76,-27.19,13.41,3.0,395.66
0.71,11,930.81,-69.19,-6.92,-22.21,10.68,3.0,311.58
0.72,11,930.81,-69.19,-6.92,-22.21,10.68,3.0,311.58
0.73,10,959.6,-40.4,-4.04,-13.98,7.92,3.0,288.97
0.74,9,946.67,-53.33,-5.33,-20.56,9.16,3.0,259.38
0.75,5,1022.83,22.83,2.28,15.11,3.0,3.0,151.1
