feature,importance
diff_odds_b365,692
diff_implied_prob_ps,429
diff_days_rest,400
glicko_surf_rd_diff,369
glicko_surf_r_diff,359
diff_odds_ps,342
diff_roll_bp_conv_pct_form20,236
diff_roll_return_pts_won_pct_form4,209
diff_roll_2nd_serve_won_pct_form4,208
diff_roll_bp_saved_pct_form20,199
diff_roll_1st_serve_won_pct_form4,177
diff_roll_bp_conv_pct_form4,163
diff_roll_bp_saved_pct_form4,136
diff_roll_2nd_serve_won_pct_trend_10_20,127
diff_roll_bp_saved_pct_trend_4_20,121
diff_roll_bp_saved_pct_trend_10_20,121
diff_roll_bp_conv_pct_trend_10_20,118
diff_roll_return_pts_won_pct_trend_10_20,117
diff_roll_1st_serve_won_pct_trend_10_20,114
diff_roll_2nd_serve_won_pct_trend_4_20,100
diff_roll_return_pts_won_pct_trend_4_20,92
diff_roll_bp_conv_pct_trend_4_20,90
diff_roll_1st_serve_won_pct_trend_4_20,73
h2h_win_pct_3,47
diff_surface_change,1
