threshold,qualified_matches,coverage_pct,accuracy_pct,p1_pick_share_pct
0.5,1000,100.0,68.0,85.6
0.51,949,94.9,69.02,87.14
0.52,912,91.2,69.19,88.6
0.53,857,85.7,70.36,90.78
0.54,823,82.3,70.96,92.59
0.55,779,77.9,71.37,94.48
0.56,735,73.5,72.52,95.78
0.57,705,70.5,73.05,95.89
0.58,676,67.6,73.08,96.15
0.59,644,64.4,73.91,96.43
0.6,600,60.0,73.33,97.5
0.61,575,57.5,74.43,98.26
0.62,545,54.5,75.78,99.27
0.63,506,50.6,77.27,99.41
0.64,470,47.0,77.87,99.79
0.65,445,44.5,78.2,100.0
0.66,408,40.8,79.66,100.0
0.67,387,38.7,79.59,100.0
0.68,367,36.7,80.93,100.0
0.69,344,34.4,81.69,100.0
0.7,320,32.0,81.56,100.0
0.71,295,29.5,81.69,100.0
0.72,275,27.5,82.18,100.0
0.73,252,25.2,82.54,100.0
0.74,220,22.0,82.73,100.0
0.75,187,18.7,82.89,100.0
