threshold,bets,hit_rate_pct,roi_pct,avg_edge_pct,avg_ev_pct
0.5,131,56.49,10.68,8.09,17.55
0.51,113,57.52,8.16,7.91,16.59
0.52,104,56.73,4.69,8.01,16.7
0.53,90,60.0,8.64,8.17,16.87
0.54,88,60.23,8.63,8.18,16.87
0.55,82,59.76,6.01,8.09,16.52
0.56,76,61.84,9.11,7.81,14.96
0.57,73,64.38,13.6,7.68,14.52
0.58,68,63.24,10.01,7.71,14.49
0.59,64,64.06,11.08,7.78,14.56
0.6,56,60.71,2.77,7.76,14.39
0.61,49,61.22,2.43,7.97,14.78
0.62,46,58.7,-3.27,7.92,14.64
0.63,42,57.14,-7.5,7.91,14.55
0.64,37,54.05,-13.7,8.06,14.88
0.65,34,52.94,-16.26,8.25,15.3
0.66,31,51.61,-18.96,8.2,15.19
0.67,27,48.15,-25.34,8.55,15.99
0.68,22,54.55,-16.42,8.67,16.38
0.69,17,52.94,-20.49,9.34,18.15
0.7,14,50.0,-26.16,9.49,18.92
0.71,11,54.55,-20.86,6.7,9.94
0.72,11,54.55,-20.86,6.7,9.94
0.73,10,60.0,-12.95,6.95,10.32
0.74,9,55.56,-19.44,7.18,10.67
0.75,5,80.0,15.6,7.18,10.56
