ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
1.0,Brisbane,Brisbane International,2026-01-04,ATP250,Outdoor,Hard,1st Round,3,Tiafoe F.,Vukic A.,16.0,103.0,708.0,13.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.52,2.7,1.53,2.95,1.47,2.63,1.53,2.88
1.0,Brisbane,Brisbane International,2026-01-04,ATP250,Outdoor,Hard,1st Round,3,Tien L.,Ugo Carabelli C.,19.0,56.0,593.0,103.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.2,5.21,1.18,5.5,1.16,5.06,1.19,6.0
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Wu Y.,Marozsan F.,80.0,39.0,30.0,195.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2,1.8,2.23,1.72,2.2,1.84,2.08,1.72,2.32,1.74
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Mannarino A.,35.0,40.0,220.0,188.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.77,2.16,1.81,2.06,1.76,2.02,1.83,2.16
1.0,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Medvedev D.,Fucsovics M.,3.0,71.0,1963.0,55.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.29,3.75,1.28,4.03,1.29,3.8,1.26,3.73,1.28,4.3
1.0,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Sweeny D.,70.0,122.0,55.0,10.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.6,2.49,1.62,2.6,1.56,2.39,1.64,2.52
2.0,Hong Kong,Hong Kong Tennis Open,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Borges N.,Dzumhur D.,64.0,78.0,78.0,33.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.47,2.88,1.49,2.8,1.44,2.69,1.51,2.88
1.0,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Majchrzak K.,Altmaier D.,66.0,105.0,68.0,13.0,7.0,6.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.91,1.91,,,1.95,1.91,1.91,1.84,2.02,1.94
1.0,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Lehecka J.,Machac T.,12.0,23.0,825.0,433.0,6.0,4.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.5,2.63,1.52,2.71,1.57,2.75,1.49,2.56,1.54,2.76
1.0,Brisbane,Brisbane International,2026-01-05,ATP250,Outdoor,Hard,1st Round,3,Korda S.,Vacherot V.,22.0,38.0,476.0,198.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.54,2.64,1.52,2.75,1.48,2.61,1.56,2.74
