query_name,matched,player_name,player_slug,section,directory_matches,source_url,season
Abel M.,False,,,,,,2003
Acasuso J.,True,Jose Acasuso,JoseAcasuso,retired_men,3.0,https://www.tennisabstract.com/charting/JoseAcasuso.html,2003
Agassi A.,True,Andre Agassi,AndreAgassi,retired_men,229.0,https://www.tennisabstract.com/charting/AndreAgassi.html,2003
Alami K.,True,Karim Alami,KarimAlami,retired_men,2.0,https://www.tennisabstract.com/charting/KarimAlami.html,2003
Aldi F.,False,,,,,,2003
Allegro Y.,False,,,,,,2003
Almagro N.,True,Nicolas Almagro,NicolasAlmagro,retired_men,26.0,https://www.tennisabstract.com/charting/NicolasAlmagro.html,2003
Amritraj P.,True,Alison Riske Amritraj,AlisonRiskeAmritraj,retired_women,50.0,https://www.tennisabstract.com/charting/AlisonRiskeAmritraj.html,2003
Ancic M.,True,Mario Ancic,MarioAncic,retired_men,14.0,https://www.tennisabstract.com/charting/MarioAncic.html,2003
Andersen J.,False,,,,,,2003
Andersen J.F.,False,,,,,,2003
Andersson H.,False,,,,,,2003
Andreev I.,True,Igor Andreev,IgorAndreev,retired_men,7.0,https://www.tennisabstract.com/charting/IgorAndreev.html,2003
Arazi H.,True,Hicham Arazi,HichamArazi,retired_men,3.0,https://www.tennisabstract.com/charting/HichamArazi.html,2003
Armando H.,False,,,,,,2003
Arthurs W.,False,,,,,,2003
Ascione A.,False,,,,,,2003
Ascione T.,False,,,,,,2003
Ayala D.,False,,,,,,2003
Baccanello P.,False,,,,,,2003
Bahrouzyan O.,False,,,,,,2003
Baker B.,True,Brian Baker,BrianBaker,retired_men,2.0,https://www.tennisabstract.com/charting/BrianBaker.html,2003
Balcells J.,False,,,,,,2003
Bastl G.,False,,,,,,2003
Beck K.,False,,,,,,2003
Behrend T.,False,,,,,,2003
Behrmann M.,False,,,,,,2003
Benneteau J.,True,Julien Benneteau,JulienBenneteau,retired_men,11.0,https://www.tennisabstract.com/charting/JulienBenneteau.html,2003
Berdych T.,True,Tomas Berdych,TomasBerdych,retired_men,115.0,https://www.tennisabstract.com/charting/TomasBerdych.html,2003
Bjorkman J.,True,Jonas Bjorkman,JonasBjorkman,retired_men,16.0,https://www.tennisabstract.com/charting/JonasBjorkman.html,2003
Black W.,False,,,,,,2003
Blake J.,True,James Blake,JamesBlake,retired_men,38.0,https://www.tennisabstract.com/charting/JamesBlake.html,2003
Blake T.,False,,,,,,2003
Blanco G.,True,Galo Blanco,GaloBlanco,retired_men,2.0,https://www.tennisabstract.com/charting/GaloBlanco.html,2003
Bloomfield R.,False,,,,,,2003
Bogdanovic A.,False,,,,,,2003
Bogomolov A.,False,,,,,,2003
