feature,importance
away_fouls_against_avg_last30,112
away_fouls_against_avg_last20,108
away_fouls_against_avg_last10,108
home_fouls_for_avg_last30,102
away_fouls_against_avg_last5,97
roll_fouls_for_30_diff,91
home_fouls_for_avg_last10,88
roll_fouls_against_30_diff,86
goals_elo_HA_diff,81
home_fouls_for_avg_last20,71
roll_sot_for_30_diff,69
momentum_shots_against_diff,65
momentum_corners_for_diff,62
roll_sot_against_10_diff,62
h2h_gd_10,61
away_momentum_goals_for,61
home_momentum_corners_for,60
home_momentum_fouls_against,58
roll_yellows_for_30_diff,56
away_corners_against_avg_last20,56
momentum_sot_against_diff,55
momentum_fouls_for_diff,53
roll_corners_for_30_diff,50
home_fouls_for_avg_last5,49
away_momentum_corners_for,48
home_yellows_for_avg_last20,48
roll_sot_against_3_diff,48
away_momentum_shots_against,47
home_momentum_shots_for,47
h2h_gd_5,46
away_yellows_for_avg_last30,46
glicko_HA_r_diff,45
home_momentum_fouls_for,45
home_yellows_for_avg_last30,45
roll_shots_against_30_diff,43
roll_sot_against_30_diff,43
glicko_H_home_r,42
home_momentum_yellows_against,42
momentum_corners_against_diff,42
away_momentum_fouls_against,42
home_corners_for_avg_last20,42
roll_fouls_for_3_diff,42
roll_goals_for_10_diff,41
home_momentum_corners_against,41
momentum_yellows_for_diff,41
home_momentum_xg_against,41
home_shots_against_avg_last10,40
home_shots_against_avg_last30,40
goals_elo_diff,40
elo_H_home,40
roll_shots_for_30_diff,40
roll_corners_against_10_diff,40
home_momentum_sot_for,39
away_momentum_fouls_for,39
roll_fouls_for_5_diff,39
roll_yellows_for_10_diff,39
home_shots_for_avg_last20,39
away_corners_for_avg_last30,38
home_fouls_against_avg_last20,38
momentum_yellows_against_diff,38
h2h_pts_10,38
home_corners_against_avg_last10,38
away_momentum_corners_against,38
away_momentum_sot_for,38
away_momentum_shots_for,38
home_goals_for_avg_last20,38
home_sot_against_avg_last10,37
roll_goals_for_3_diff,37
roll_yellows_against_30_diff,37
glicko_HA_rd_diff,37
home_fouls_against_avg_last30,37
roll_reds_against_30_diff,37
home_momentum_shots_against,36
roll_fouls_against_10_diff,36
away_fouls_for_avg_last30,36
momentum_shots_for_diff,36
away_shots_against_avg_last5,36
roll_goals_for_30_diff,36
roll_shots_against_10_diff,36
away_corners_against_avg_last30,35
roll_sot_for_3_diff,35
home_fouls_against_avg_last10,35
momentum_points_diff,35
away_momentum_sot_against,34
away_fouls_for_avg_last10,34
away_shots_for_avg_last20,34
away_fouls_for_avg_last20,34
roll_goals_against_30_diff,33
home_shots_against_avg_last20,33
home_reds_against_avg_last30,33
home_momentum_sot_against,33
home_momentum_goals_for,33
away_shots_against_avg_last20,33
home_shots_for_avg_last30,32
roll_corners_for_10_diff,32
away_momentum_yellows_for,32
roll_fouls_against_3_diff,32
home_momentum_yellows_for,32
home_points_avg_last3,32
away_shots_for_avg_last10,31
away_momentum_points,31
elo_diff,31
away_goals_against_avg_last30,31
h2h_pts_3,30
momentum_goals_for_diff,30
glicko_rd_diff,30
away_fouls_against_avg_last3,30
home_momentum_points,30
home_corners_for_avg_last30,30
roll_yellows_against_10_diff,30
momentum_fouls_against_diff,29
momentum_sot_for_diff,29
momentum_goals_against_diff,29
away_momentum_reds_for,29
roll_corners_against_30_diff,29
away_yellows_against_avg_last10,29
glicko_A_away_r,28
roll_sot_for_10_diff,28
roll_shots_for_3_diff,28
away_corners_for_avg_last10,28
home_shots_for_avg_last5,28
home_fouls_for_avg_last3,27
home_corners_against_avg_last30,27
glicko_r_diff,26
roll_fouls_for_10_diff,26
roll_corners_against_3_diff,26
