iter	MultiClass
0	1.096886021
1	1.095150807
2	1.093553524
3	1.091847962
4	1.090162582
5	1.088520199
6	1.086961422
7	1.08542684
8	1.083981058
9	1.082560528
10	1.08111455
11	1.079687376
12	1.078296627
13	1.076978653
14	1.075696398
15	1.074472244
16	1.07330293
17	1.072060206
18	1.070867691
19	1.069668099
20	1.068513273
21	1.067359426
22	1.066259971
23	1.065215341
24	1.064183421
25	1.063156648
26	1.062183023
27	1.061181629
28	1.060255286
29	1.0592907
30	1.058364678
31	1.057467286
32	1.056594341
33	1.055765575
34	1.05492267
35	1.054128552
36	1.053357889
37	1.052612606
38	1.051811494
39	1.05102731
40	1.05027071
41	1.049498287
42	1.048823712
43	1.048109532
44	1.047437813
45	1.046741943
46	1.046082246
47	1.045423394
48	1.044777299
49	1.04415275
50	1.043549585
51	1.042947022
52	1.042368504
53	1.041761147
54	1.041135414
55	1.040600502
56	1.040024928
57	1.039489058
58	1.038942552
59	1.038382731
60	1.037863715
61	1.037393875
62	1.036935191
63	1.036439921
64	1.035960726
65	1.035483515
66	1.035041239
67	1.034619968
68	1.034232314
69	1.033789191
70	1.033364978
71	1.032947947
72	1.032576098
73	1.032175721
74	1.031790079
75	1.031406478
76	1.031025431
77	1.030671792
78	1.030298892
79	1.029926739
80	1.029574042
81	1.029277471
82	1.028947672
83	1.028618197
84	1.028301033
85	1.027982449
86	1.027638439
87	1.027331306
88	1.02703134
89	1.026724817
90	1.026413913
91	1.026145419
92	1.025868126
93	1.025568897
94	1.025266314
95	1.024971321
96	1.024686902
97	1.02443308
98	1.024169456
99	1.02392741
100	1.023670891
101	1.023403085
102	1.023158362
103	1.022911828
104	1.022670352
105	1.022443125
106	1.022220929
107	1.022033095
108	1.021819297
109	1.021609597
110	1.021405244
111	1.02117354
112	1.020980135
113	1.020770509
114	1.020574923
115	1.020379888
116	1.020208277
117	1.020010591
118	1.019814825
119	1.01963459
120	1.019423722
121	1.019213425
122	1.019052754
123	1.01885421
124	1.018667471
125	1.018501142
126	1.018334306
127	1.018163695
128	1.017997325
129	1.017837954
130	1.017667089
131	1.017522376
132	1.017359525
