iter	Passed	Remaining
0	53	20129
1	96	18012
2	138	17273
3	182	16995
4	226	16785
5	271	16725
6	313	16515
7	354	16317
8	395	16142
9	439	16082
10	480	15935
11	526	15983
12	571	15962
13	612	15850
14	726	17488
15	803	18083
16	856	18078
17	912	18143
18	967	18176
19	1023	18212
20	1073	18153
21	1120	18026
22	1164	17865
23	1214	17808
24	1266	17782
25	1324	17826
26	1377	17808
27	1425	17721
28	1469	17584
29	1513	17454
30	1557	17331
31	1598	17186
32	1641	17066
33	1685	16951
34	1731	16866
35	1771	16733
36	1815	16633
37	1857	16524
38	1900	16421
39	1941	16306
40	1983	16208
41	2026	16112
42	2070	16035
43	2113	15947
44	2155	15855
45	2200	15786
46	2241	15689
47	2283	15604
48	2324	15515
49	2367	15434
50	2407	15340
51	2448	15255
52	2493	15194
53	2534	15115
54	2577	15045
55	2617	14954
56	2661	14895
57	2711	14864
58	2761	14836
59	2810	14801
60	2858	14762
61	2903	14703
62	2945	14636
63	2990	14576
64	3033	14513
65	3077	14454
66	3119	14387
67	3161	14318
68	3203	14252
69	3246	14189
70	3293	14146
71	3335	14082
72	3376	14014
73	3417	13945
74	3459	13884
75	3504	13834
76	3546	13770
77	3587	13705
78	3630	13649
79	3676	13604
80	3719	13545
81	3760	13481
82	3802	13424
83	3845	13368
84	3896	13338
85	3937	13279
86	3979	13220
87	4023	13169
88	4070	13127
89	4120	13093
90	4162	13035
91	4207	12987
92	4249	12930
93	4291	12873
94	4332	12813
95	4375	12761
96	4416	12704
97	4459	12650
98	4502	12597
99	4543	12539
100	4584	12483
101	4625	12425
102	4664	12364
103	4709	12316
104	4751	12262
105	4793	12209
106	4832	12149
107	4873	12094
108	4920	12053
109	4962	12000
110	5004	11946
111	5045	11894
112	5089	11844
113	5137	11807
114	5188	11774
115	5232	11727
116	5277	11683
117	5320	11632
118	5369	11595
119	5408	11539
120	5454	11495
121	5497	11444
122	5538	11392
123	5580	11340
124	5623	11292
125	5666	11243
126	5711	11198
127	5754	11149
128	5796	11097
129	5838	11047
130	5880	10998
131	5924	10951
132	5965	10899
133	6010	10855
134	6054	10808
135	6102	10768
136	6143	10718
137	6188	10672
138	6231	10624
139	6278	10584
140	6320	10534
141	6360	10481
142	6400	10428
143	6441	10378
144	6483	10328
145	6523	10276
146	6565	10227
147	6605	10176
148	6651	10132
149	6693	10085
150	6736	10037
151	6783	9996
152	6824	9946
153	6863	9894
154	6907	9848
155	6950	9801
156	6998	9762
157	7040	9713
158	7082	9665
159	7126	9620
160	7170	9575
161	7211	9526
162	7253	9478
163	7295	9430
164	7336	9381
165	7378	9333
166	7423	9290
167	7465	9242
168	7506	9194
169	7551	9150
170	7592	9102
171	7632	9052
172	7676	9007
173	7719	8961
174	7762	8916
175	7801	8865
176	7842	8817
177	7883	8769
178	7926	8723
179	7967	8676
180	8006	8625
181	8051	8582
182	8094	8536
183	8134	8488
184	8175	8440
185	8215	8392
186	8256	8344
187	8298	8298
188	8344	8256
189	8386	8210
190	8432	8167
191	8479	8125
192	8524	8082
193	8567	8037
194	8614	7995
195	8660	7953
196	8705	7909
197	8747	7863
198	8793	7821
199	8833	7773
200	8876	7727
201	8918	7681
202	8959	7635
203	8998	7587
204	9040	7541
205	9090	7501
206	9136	7459
207	9177	7412
208	9222	7369
209	9263	7322
210	9306	7277
211	9346	7230
212	9392	7187
213	9436	7143
214	9477	7097
215	9517	7050
216	9558	7003
217	9600	6957
218	9640	6911
219	9682	6865
220	9721	6817
221	9760	6770
222	9804	6726
223	9847	6682
224	9886	6635
225	9927	6588
226	9967	6542
227	10009	6497
228	10054	6454
229	10100	6411
230	10150	6371
231	10198	6329
232	10239	6284
233	10289	6243
234	10336	6201
235	10377	6156
236	10418	6110
237	10459	6064
238	10501	6019
239	10540	5972
240	10581	5927
241	10624	5883
242	10670	5840
243	10712	5795
244	10753	5750
245	10795	5704
246	10835	5658
247	10877	5614
248	10919	5569
249	10961	5524
250	11001	5479
251	11042	5433
252	11084	5388
253	11127	5344
254	11172	5301
255	11216	5257
256	11257	5212
257	11299	5168
258	11341	5123
259	11379	5076
260	11421	5032
261	11463	4987
262	11504	4942
263	11544	4897
264	11586	4853
265	11627	4808
266	11667	4763
267	11712	4720
268	11762	4678
269	11803	4633
270	11845	4589
271	11885	4544
272	11928	4500
273	11973	4457
274	12024	4416
275	12066	4371
276	12111	4328
277	12154	4284
278	12195	4240
279	12248	4199
280	12289	4154
281	12329	4109
282	12371	4065
283	12414	4021
284	12457	3977
285	12501	3933
286	12545	3890
287	12588	3846
288	12627	3801
289	12670	3757
290	12710	3712
291	12747	3667
292	12790	3623
293	12829	3578
294	12869	3533
295	12911	3489
296	12953	3445
297	12993	3401
298	13036	3357
299	13079	3313
300	13120	3269
301	13166	3226
302	13206	3181
303	13248	3137
304	13290	3093
305	13331	3049
306	13377	3006
307	13420	2963
308	13462	2918
309	13501	2874
310	13547	2831
311	13587	2787
312	13627	2742
313	13671	2699
314	13713	2655
315	13754	2611
316	13797	2568
317	13838	2524
318	13880	2480
319	13919	2435
320	13958	2391
321	13998	2347
322	14041	2303
323	14085	2260
324	14125	2216
325	14165	2172
326	14209	2129
327	14250	2085
328	14294	2042
329	14335	1998
330	14377	1954
331	14417	1910
332	14457	1866
333	14496	1822
334	14537	1779
335	14581	1735
336	14623	1692
337	14662	1648
338	14706	1605
339	14746	1561
340	14787	1517
341	14828	1474
342	14870	1430
343	14911	1387
344	14950	1343
345	14990	1299
346	15030	1256
347	15073	1212
348	15116	1169
349	15162	1126
350	15204	1082
351	15244	1039
352	15292	996
353	15333	952
354	15381	909
355	15424	866
356	15464	823
357	15506	779
358	15548	736
359	15591	692
360	15633	649
361	15676	606
362	15719	562
363	15761	519
364	15800	476
365	15839	432
366	15882	389
367	15922	346
368	15962	302
369	16003	259
370	16045	216
371	16092	173
372	16138	129
373	16178	86
374	16218	43
375	16257	0
