iter	MultiClass
0	1.094722496
1	1.090861531
2	1.087166045
3	1.083438534
4	1.080281811
5	1.076814443
6	1.073552663
7	1.070323697
8	1.067137691
9	1.06412949
10	1.061161582
11	1.0583459
12	1.055730959
13	1.053043611
14	1.050429334
15	1.047919444
16	1.045531917
17	1.043201378
18	1.040879046
19	1.038637792
20	1.036551876
21	1.034366557
22	1.032285102
23	1.030234692
24	1.028286918
25	1.026346306
26	1.024431342
27	1.022595036
28	1.020814894
29	1.019111201
30	1.017406293
31	1.015699126
32	1.01404608
33	1.01250292
34	1.011011666
35	1.009564527
36	1.008122783
37	1.006723649
38	1.005309007
39	1.003928684
40	1.002629419
41	1.001261352
42	1.00001483
43	0.9987879793
44	0.9976847751
45	0.996556409
46	0.9954113216
47	0.9942852853
48	0.9930484537
49	0.9920253317
50	0.9910526016
51	0.9900184269
52	0.9889482432
53	0.9879834389
54	0.9869468606
55	0.9860288441
56	0.985140798
57	0.9842150709
58	0.9833626191
59	0.9824883611
60	0.9816482262
61	0.9808419634
62	0.9800923563
63	0.9792683001
64	0.9784808186
65	0.9776532295
66	0.9769263689
67	0.9762404574
68	0.9755865141
69	0.9748551924
70	0.9741694178
71	0.9734944783
72	0.9727793222
73	0.9721000998
74	0.97143798
75	0.9707537373
76	0.9701449566
77	0.9695058359
78	0.9689383019
79	0.9684010342
80	0.9678800895
81	0.967349559
82	0.9668107568
83	0.9662755095
84	0.9657222247
85	0.9651931179
86	0.9647112708
87	0.9642364557
88	0.9637693193
89	0.9633089238
90	0.9627883252
91	0.9622556413
92	0.961789473
93	0.9612869577
94	0.9608977696
95	0.9604616184
96	0.9599950777
97	0.9596018861
98	0.9591903337
99	0.9587163893
100	0.9582903206
101	0.9578575068
102	0.9574222921
103	0.9570653227
104	0.9566867663
105	0.9563026905
106	0.9558974187
107	0.955523236
108	0.9551670873
109	0.9548672675
110	0.9545123869
111	0.9541623193
112	0.9538196276
113	0.9534404758
114	0.9531447795
115	0.9528412745
116	0.9524502349
117	0.9520628005
118	0.9516417401
119	0.9513382094
120	0.95109825
121	0.9507206014
122	0.9503678259
123	0.9501028544
124	0.9497993073
125	0.9494721689
126	0.94915595
127	0.9488128944
128	0.9484136423
129	0.9481571341
130	0.9478557461
131	0.9475709482
132	0.9472231283
133	0.9469465883
134	0.9467345229
135	0.9463846411
136	0.9460484074
137	0.9457209062
138	0.945450769
139	0.9451688338
140	0.9446155106
141	0.9443893438
142	0.9441047021
143	0.9438635859
144	0.9436386238
145	0.9433438129
146	0.9430388906
147	0.9428346389
148	0.9425671456
149	0.9422863768
150	0.9420136426
151	0.9417194733
152	0.9414418773
153	0.9412235084
154	0.9409341148
155	0.9407326611
156	0.94049633
157	0.9401438626
158	0.9399396488
159	0.9396415213
160	0.939332707
161	0.9391205825
162	0.9388179571
163	0.9384830655
164	0.9382659158
165	0.9380777857
166	0.9378171262
167	0.9375871497
168	0.9374419356
169	0.937196655
170	0.9369590372
171	0.9367080508
172	0.9364966553
173	0.9363258794
174	0.9360843606
175	0.9358177086
176	0.9355866623
177	0.9353491346
178	0.9350975482
179	0.9349688594
180	0.9347775981
181	0.9346116828
182	0.934262748
183	0.9340232949
184	0.9337839822
185	0.9334781874
186	0.9333063622
187	0.9330734714
188	0.9329085474
189	0.9326097708
190	0.9323967902
191	0.9321974239
192	0.9319562704
193	0.9316740766
194	0.9314708941
195	0.9313086897
196	0.9309286654
197	0.9306864087
198	0.9304767667
199	0.9300940273
200	0.9298983948
201	0.9296539778
202	0.9294819128
203	0.92921912
204	0.9289481726
205	0.9288051922
206	0.9285941547
207	0.9284375553
208	0.9282943244
209	0.9281429592
210	0.9279908108
211	0.9277290136
212	0.9275217448
213	0.9273093219
214	0.9270314813
215	0.9268604372
216	0.9267022051
217	0.9264035724
218	0.9261446896
219	0.9259561678
220	0.9257843038
221	0.925589726
222	0.9253903709
223	0.9251686599
224	0.9249758807
225	0.9246593846
226	0.9244990538
227	0.9242559114
228	0.9240364763
229	0.9238098314
230	0.9236573154
231	0.9233896197
232	0.9231104526
233	0.922943029
234	0.9227930807
235	0.9225113608
236	0.9223404391
237	0.9222383302
238	0.9220986422
239	0.9219475726
240	0.9216457447
241	0.9214571938
242	0.9211243492
243	0.9209089971
244	0.9206914135
245	0.9205452387
246	0.9203723022
247	0.9201798525
248	0.9198887846
249	0.9196286128
250	0.9194631748
251	0.9193565379
252	0.9191306827
253	0.9189571917
254	0.9188035519
255	0.9185339263
256	0.9183477373
257	0.9181326951
258	0.9178886133
259	0.917676631
260	0.9174957402
261	0.9174051095
262	0.9172193055
263	0.9170028012
264	0.9167422321
265	0.9165819467
266	0.9163444137
267	0.916130344
268	0.9159854753
269	0.9158337684
270	0.9155353903
271	0.9152744967
272	0.9150428195
273	0.9149491292
274	0.914709363
275	0.914597893
276	0.9144099705
277	0.9142531678
278	0.9140697011
279	0.9138533887
280	0.9137192206
281	0.9135213674
282	0.9132676745
283	0.9129013666
284	0.9127132507
285	0.9124605592
286	0.9121692784
287	0.9119606166
288	0.9117374236
289	0.9114252
290	0.9112585621
291	0.911103368
292	0.910972602
293	0.910869274
