iter	Passed	Remaining
0	158	129699
1	339	138388
2	476	129325
3	606	123239
4	755	122759
5	910	123115
6	1085	125552
7	1244	125833
8	1394	125186
9	1535	123945
10	1677	122948
11	1836	123213
12	1988	122988
13	2121	121690
14	2252	120450
15	2398	120090
16	2549	119968
17	2698	119764
18	2864	120322
19	3016	120193
20	3175	120373
21	3323	120112
22	3456	119326
23	3601	119014
24	3756	119009
25	3896	118530
26	4038	118160
27	4192	118133
28	4338	117897
29	4476	117426
30	4625	117271
31	4780	117272
32	4933	117206
33	5078	116950
34	5232	116903
35	5400	117151
36	5559	117196
37	5720	117267
38	5882	117353
39	6037	117273
40	6178	116946
41	6330	116813
42	6484	116713
43	6640	116661
44	6797	116613
45	6958	116630
46	7099	116310
47	7249	116146
48	7386	115768
49	7523	115415
50	7676	115305
51	7843	115389
52	7989	115172
53	8132	114906
54	8276	114666
55	8422	114457
56	8571	114292
57	8719	114105
58	8865	113899
59	9010	113679
60	9150	113400
61	9285	113077
62	9432	112885
63	9573	112635
64	9718	112433
65	9850	112085
66	9986	111789
67	10129	111569
68	10272	111360
69	10414	111135
70	10557	110925
71	10702	110739
72	10843	110513
73	10989	110341
74	11135	110169
75	11282	110004
76	11424	109790
77	11573	109649
78	11711	109401
79	11843	109104
80	11986	108913
81	12134	108766
82	12276	108568
83	12421	108392
84	12561	108174
85	12709	108029
86	12864	107946
87	13004	107730
88	13153	107593
89	13301	107445
90	13449	107299
91	13614	107288
92	13768	107184
93	13926	107112
94	14066	106905
95	14217	106780
96	14381	106752
97	14546	106720
98	14698	106597
99	14853	106500
100	15008	106394
101	15149	106195
102	15297	106046
103	15434	105813
104	15575	105619
105	15730	105514
106	15890	105439
107	16038	105290
108	16209	105287
109	16350	105090
110	16505	104981
111	16671	104938
112	16825	104825
113	16979	104705
114	17129	104562
115	17285	104459
116	17437	104325
117	17588	104191
118	17745	104088
119	17891	103920
120	18039	103764
121	18193	103641
122	18341	103488
123	18494	103359
124	18650	103249
125	18804	103125
126	18937	102889
127	19070	102652
128	19212	102467
129	19359	102308
130	19516	102199
131	19657	102008
132	19807	101867
133	19951	101691
134	20100	101543
135	20256	101430
136	20401	101261
137	20529	101011
138	20669	100820
139	20812	100644
140	20962	100502
141	21116	100375
142	21269	100250
143	21420	100109
144	21564	99940
145	21709	99776
146	21849	99587
147	21985	99378
148	22126	99199
149	22262	98992
150	22398	98790
151	22538	98605
152	22677	98417
153	22826	98274
154	22962	98072
155	23099	97875
156	23246	97723
157	23403	97612
158	23549	97457
159	23703	97331
160	23859	97214
161	23991	97002
162	24133	96830
163	24299	96754
164	24464	96670
165	24620	96554
166	24765	96392
167	24915	96249
168	25057	96078
169	25199	95905
170	25342	95737
171	25474	95527
172	25607	95323
173	25736	95105
174	25885	94964
175	26027	94794
176	26191	94703
177	26337	94549
178	26482	94389
179	26636	94262
180	26789	94134
181	26945	94012
182	27098	93883
183	27241	93717
184	27379	93533
185	27518	93354
186	27659	93185
187	27790	92981
188	27924	92787
189	28071	92636
190	28209	92455
191	28343	92265
192	28487	92103
193	28622	91917
194	28775	91787
195	28934	91675
196	29078	91516
197	29228	91376
198	29371	91213
199	29514	91053
200	29659	90895
201	29796	90718
202	29935	90542
203	30083	90398
204	30219	90216
205	30362	90055
206	30496	89870
207	30635	89698
208	30783	89553
209	30922	89379
210	31068	89230
211	31226	89113
212	31373	88965
213	31521	88819
214	31665	88664
215	31802	88487
216	31940	88314
217	32072	88125
218	32216	87969
219	32355	87799
220	32490	87620
221	32626	87445
222	32769	87286
223	32905	87110
224	33046	86948
225	33186	86783
226	33324	86614
227	33464	86450
228	33600	86274
229	33740	86110
230	33874	85932
231	34009	85755
232	34149	85594
233	34286	85423
234	34425	85259
235	34564	85093
236	34699	84918
237	34831	84737
238	34963	84556
239	35102	84392
240	35239	84223
241	35376	84055
242	35511	83882
243	35647	83713
244	35782	83540
245	35921	83378
246	36061	83218
247	36205	83067
248	36362	82948
249	36514	82814
250	36653	82652
251	36787	82479
252	36921	82306
253	37051	82126
254	37190	81964
255	37330	81806
256	37465	81636
257	37601	81469
258	37743	81316
259	37887	81167
260	38026	81007
261	38170	80857
262	38306	80691
263	38451	80544
264	38586	80377
265	38720	80205
266	38852	80032
267	38990	79871
268	39128	79711
269	39259	79536
270	39395	79372
271	39537	79220
272	39677	79064
273	39814	78902
274	39962	78761
275	40106	78614
276	40246	78459
277	40384	78299
278	40518	78131
279	40663	77987
280	40807	77838
281	40948	77686
282	41080	77516
283	41221	77362
284	41360	77206
285	41511	77072
286	41656	76926
287	41795	76769
288	41934	76613
289	42074	76459
290	42208	76294
291	42344	76133
292	42487	75985
293	42627	75829
294	42760	75664
295	42902	75514
296	43045	75365
297	43183	75208
298	43318	75047
299	43454	74885
300	43587	74721
301	43725	74565
302	43867	74414
303	44001	74253
304	44139	74096
305	44272	73931
306	44409	73775
307	44549	73621
308	44685	73463
309	44841	73337
310	44984	73189
311	45125	73040
312	45260	72879
313	45391	72713
314	45527	72554
315	45663	72396
316	45801	72242
317	45941	72090
318	46078	71933
319	46222	71789
320	46357	71630
321	46491	71469
322	46629	71316
323	46767	71162
324	46909	71014
325	47048	70861
326	47183	70703
327	47316	70541
328	47456	70391
329	47591	70233
330	47721	70069
331	47854	69908
332	47994	69757
333	48128	69598
334	48265	69444
335	48398	69285
336	48544	69143
337	48699	69014
338	48836	68860
339	48982	68719
340	49121	68567
341	49273	68435
342	49420	68295
343	49558	68142
344	49693	67986
345	49829	67830
346	49963	67674
347	50107	67529
348	50241	67372
349	50376	67216
350	50511	67061
351	50650	66910
352	50787	66757
353	50926	66606
354	51061	66452
355	51198	66299
356	51337	66149
357	51474	65997
358	51613	65847
359	51743	65686
360	51880	65533
361	52018	65381
362	52153	65228
363	52290	65075
364	52422	64917
365	52558	64765
366	52695	64613
367	52836	64465
368	52976	64318
369	53115	64169
370	53252	64017
371	53384	63860
372	53514	63701
373	53654	63552
374	53793	63404
375	53932	63255
376	54073	63109
377	54209	62957
378	54341	62800
379	54474	62645
380	54610	62494
381	54745	62340
382	54880	62188
383	55018	62039
384	55157	61891
385	55298	61745
386	55438	61597
387	55578	61451
388	55725	61312
389	55879	61180
390	56022	61036
391	56161	60889
392	56298	60739
393	56436	60590
394	56573	60440
395	56708	60288
396	56845	60138
397	56982	59989
398	57121	59841
399	57266	59700
400	57417	59565
401	57555	59416
402	57691	59265
403	57837	59126
404	57982	58984
405	58122	58838
406	58256	58686
407	58398	58541
408	58552	58409
409	58701	58271
410	58830	58115
411	58961	57959
412	59103	57815
413	59271	57696
414	59422	57560
415	59575	57426
416	59722	57287
417	59879	57157
418	60032	57023
419	60193	56897
420	60344	56760
421	60498	56627
422	60656	56498
423	60805	56359
424	60958	56225
425	61117	56095
426	61261	55953
427	61419	55822
428	61566	55682
429	61725	55553
430	61865	55405
431	61999	55254
432	62133	55102
433	62309	54987
434	62460	54850
435	62628	54727
436	62783	54594
437	62939	54461
438	63101	54333
439	63254	54197
440	63402	54057
441	63557	53923
442	63709	53786
443	63859	53647
444	64016	53515
445	64172	53381
446	64327	53246
447	64480	53110
448	64626	52967
449	64781	52833
450	64925	52689
451	65062	52539
452	65194	52386
453	65328	52233
454	65459	52079
455	65599	51933
456	65762	51804
457	65948	51692
458	66097	51553
459	66242	51410
460	66398	51275
461	66552	51138
462	66725	51016
463	66871	50874
464	67011	50727
465	67160	50586
466	67291	50432
467	67468	50313
468	67623	50176
469	67772	50036
470	67904	49882
471	68055	49743
472	68194	49596
473	68338	49451
474	68478	49304
475	68618	49157
476	68752	49006
477	68883	48852
478	69022	48704
479	69176	48567
480	69323	48425
481	69466	48280
482	69608	48134
483	69744	47985
484	69878	47834
485	70007	47680
486	70135	47525
487	70265	47371
488	70398	47220
489	70527	47066
490	70660	46915
491	70791	46762
492	70921	46609
493	71056	46460
494	71187	46307
495	71322	46158
496	71461	46011
497	71612	45872
498	71770	45737
499	71912	45592
500	72061	45452
501	72212	45312
502	72358	45170
503	72511	45031
504	72660	44891
505	72812	44752
506	72964	44613
507	73116	44474
508	73269	44335
509	73403	44186
510	73536	44035
511	73673	43887
512	73811	43740
513	73950	43593
514	74084	43443
515	74220	43295
516	74355	43146
517	74495	43000
518	74635	42854
519	74777	42709
520	74919	42564
521	75062	42420
522	75192	42269
523	75342	42128
524	75492	41988
525	75633	41843
526	75775	41698
527	75913	41551
528	76046	41401
529	76194	41259
530	76331	41112
531	76466	40964
532	76613	40822
533	76765	40682
534	76910	40539
535	77068	40403
536	77213	40260
537	77371	40124
538	77513	39978
539	77649	39831
540	77789	39685
541	77936	39543
542	78087	39403
543	78239	39263
544	78409	39132
545	78557	38990
546	78705	38849
547	78846	38703
548	79003	38566
549	79155	38426
550	79306	38285
551	79465	38149
552	79612	38006
553	79745	37857
554	79883	37710
555	80022	37564
556	80166	37420
557	80305	37274
558	80445	37128
559	80585	36983
560	80730	36839
561	80869	36693
562	81016	36550
563	81158	36406
