Date,HomeTeam,AwayTeam,liga,TOT_SHOTS_pred,TOT_SHOTS_sigma,TOT_SHOTS_avg2y,TOT_SHOTS_P_over_8.5,TOT_SHOTS_P_over_9.5,TOT_SHOTS_P_over_10.5,H_SHOTS_pred,H_SHOTS_sigma,H_SHOTS_avg2y,H_SHOTS_P_over_4.5,H_SHOTS_P_over_5.5,H_SHOTS_P_over_6.5,A_SHOTS_pred,A_SHOTS_sigma,A_SHOTS_avg2y,A_SHOTS_P_over_3.5,A_SHOTS_P_over_4.5,A_SHOTS_P_over_5.5,TOT_SHOTS_P_over_7.5,H_SHOTS_P_over_3.5,A_SHOTS_P_over_2.5,TOT_SHOTS_P_over_6.5,TOT_SHOTS_P_over_11.5,A_SHOTS_P_over_6.5
2026-04-26,Gent,Club Brugge,Belgium/First_Division_A,9.33,3.11,8.85,0.605,0.478,0.354,4.77,2.264,4.79,0.547,0.373,0.222,5.19,2.261,4.06,0.773,0.62,0.445,,,,,,
2026-04-26,Mechelen,Sint-Truidense VV,Belgium/First_Division_A,9.14,3.11,8.85,0.582,0.455,0.332,4.52,2.264,4.79,0.503,0.332,0.191,3.96,2.261,4.06,0.581,0.406,0.249,,,,,,
2026-04-26,RSC Anderlecht,Royale Union Saint-Gilloise,Belgium/First_Division_A,9.2,3.11,8.85,0.589,0.462,0.338,4.01,2.264,4.79,0.414,0.255,0.135,4.48,2.261,4.06,0.667,0.496,0.325,,,,,,
2026-04-26,SV Zulte Waregem,RAAL La Louvière,Belgium/First_Division_A,9.2,3.11,8.85,0.589,0.462,0.338,4.01,2.264,4.79,0.414,0.255,0.135,4.48,2.261,4.06,0.667,0.496,0.325,,,,,,
2026-04-26,Coventry,Wrexham,England/Championship,8.62,2.913,8.04,0.517,0.382,,5.37,2.288,4.43,0.649,0.478,,3.23,2.075,3.62,0.449,0.271,,0.65,0.794,0.638,,,
2026-04-26,Le Havre,Metz,France/Ligue_1,8.44,3.15,8.49,0.493,0.369,,4.98,2.307,4.68,0.582,0.41,,3.03,2.198,3.81,0.415,0.252,0.131,0.618,0.739,,,,
2026-04-26,Lorient,Strasbourg,France/Ligue_1,8.45,3.15,8.49,0.494,0.37,,4.17,2.307,4.68,0.444,0.283,,3.62,2.198,3.81,0.522,0.344,0.196,0.619,0.615,,,,
2026-04-26,Marseille,Nice,France/Ligue_1,8.67,3.15,8.49,0.522,0.397,,5.38,2.307,4.68,0.649,0.479,,3.1,2.198,3.81,0.428,0.263,0.138,0.645,0.792,,,,
2026-04-26,Paris FC,Lille,France/Ligue_1,8.32,3.15,8.49,0.477,0.354,,4.09,2.307,4.68,0.429,0.27,,4.95,2.198,3.81,0.746,0.582,0.402,0.603,0.6,,,,
2026-04-26,Rennes,Nantes,France/Ligue_1,8.59,3.15,8.49,0.511,0.386,,5.86,2.307,4.68,0.722,0.562,,3.03,2.198,3.81,0.415,0.252,0.131,0.635,0.847,,,,
2026-04-26,Dortmund,Freiburg,Germany/Bundesliga_1,9.11,3.167,9.35,0.576,0.451,0.33,6.24,2.411,5.25,0.765,0.621,0.457,3.54,2.156,4.1,0.508,0.328,0.182,,,,,,
2026-04-26,Stuttgart,Werder Bremen,Germany/Bundesliga_1,9.94,3.167,9.35,0.675,0.555,0.429,6.87,2.411,5.25,0.837,0.715,0.561,3.21,2.156,4.1,0.447,0.275,0.144,,,,,,
2026-04-26,Bochum,Greuther Furth,Germany/Bundesliga_2,10.85,3.142,9.13,0.772,0.666,0.544,6.73,2.39,4.97,0.824,0.696,0.538,4.4,2.328,4.15,0.65,0.482,0.318,,,,,,
2026-04-26,Nurnberg,Magdeburg,Germany/Bundesliga_2,10.74,3.142,9.13,0.762,0.653,0.53,5.12,2.39,4.97,0.603,0.437,0.282,4.5,2.328,4.15,0.666,0.5,0.333,,,,,,
2026-04-26,Paderborn,Schalke 04,Germany/Bundesliga_2,9.48,3.142,9.13,0.623,0.498,0.373,4.94,2.39,4.97,0.573,0.407,0.257,4.41,2.328,4.15,0.651,0.484,0.319,,,,,,
2026-04-26,AEL,Panserraikos,Greece/Super_League,8.7,2.833,7.79,0.528,0.389,,5.36,2.446,4.19,0.638,0.477,,3.76,1.962,3.6,0.554,0.354,,0.664,0.777,0.74,,,
2026-04-26,Atromitos,Asteras Tripolis,Greece/Super_League,8.19,2.833,7.79,0.457,0.322,,4.44,2.446,4.19,0.491,0.333,,3.73,1.962,3.6,0.547,0.348,,0.596,0.65,0.735,,,
2026-04-26,Kifisia,Panetolikos,Greece/Super_League,8.55,2.833,7.79,0.507,0.368,,4.85,2.446,4.19,0.557,0.395,,3.58,1.962,3.6,0.516,0.319,,0.644,0.71,0.709,,,
2026-04-26,Fiorentina,Sassuolo,Italy/Serie_A,8.45,2.825,8.07,0.493,0.355,,4.91,2.262,4.43,0.572,0.398,,3.76,1.933,3.64,0.552,0.35,,0.632,0.734,0.742,,,
2026-04-26,Genoa,Como,Italy/Serie_A,9.52,2.825,8.07,0.641,0.503,,4.44,2.262,4.43,0.489,0.319,,4.65,1.933,3.64,0.724,0.531,,0.763,0.661,0.867,,,
2026-04-26,Milan,Juventus,Italy/Serie_A,8.7,2.825,8.07,0.528,0.388,,4.16,2.262,4.43,0.441,0.277,,3.92,1.933,3.64,0.586,0.382,,0.664,0.615,0.768,,,
2026-04-26,Torino,Inter,Italy/Serie_A,8.93,2.825,8.07,0.56,0.42,,3.18,2.262,4.43,0.28,0.153,,4.92,1.933,3.64,0.769,0.586,,0.693,0.444,0.895,,,
2026-04-26,Excelsior,Utrecht,Netherlands/Eredivisie,9.72,3.294,10.44,,0.527,0.407,4.66,2.471,5.59,0.526,0.367,0.228,5.2,2.628,4.85,,0.605,0.455,,,,,0.295,0.311
2026-04-26,Heracles,Volendam,Netherlands/Eredivisie,9.78,3.294,10.44,,0.533,0.413,5.29,2.471,5.59,0.626,0.467,0.313,4.07,2.628,4.85,,0.435,0.293,,,,,0.3,0.177
2026-04-26,Dundee United,Dundee,Scotland/Premiership,8.74,3.102,8.75,0.531,0.403,0.285,4.53,2.254,4.94,0.505,0.333,0.191,3.77,2.248,3.81,0.548,0.373,0.221,,,,,,
2026-04-26,Hibernian,Hearts,Scotland/Premiership,9.25,3.102,8.75,0.595,0.467,0.343,4.2,2.254,4.94,0.447,0.282,0.154,4.0,2.248,3.81,0.588,0.412,0.252,,,,,,
2026-04-26,Rangers,Motherwell,Scotland/Premiership,9.56,3.102,8.75,0.634,0.508,0.381,6.96,2.254,4.94,0.863,0.742,0.581,2.85,2.248,3.81,0.387,0.232,0.12,,,,,,
2026-04-26,Osasuna,Sevilla,Spain/La_Liga,8.81,2.833,8.7,0.543,0.404,,5.56,2.082,4.88,0.695,0.512,0.326,3.29,2.061,3.83,0.46,0.279,0.142,0.678,,,,,
2026-04-26,Oviedo,Elche,Spain/La_Liga,8.08,2.833,8.7,0.441,0.308,,4.76,2.082,4.88,0.549,0.361,0.201,3.24,2.061,3.83,0.45,0.271,0.137,0.581,,,,,
2026-04-26,Vallecano,Sociedad,Spain/La_Liga,8.57,2.833,8.7,0.51,0.372,,4.83,2.082,4.88,0.563,0.374,0.211,3.62,2.061,3.83,0.523,0.335,0.181,0.648,,,,,
2026-04-26,Villarreal,Celta,Spain/La_Liga,8.33,2.833,8.7,0.477,0.34,,5.26,2.082,4.88,0.642,0.454,0.276,3.4,2.061,3.83,0.48,0.297,0.154,0.616,,,,,
2026-04-26,Ceuta,Racing Santander,Spain/Segunda_Division,6.8,3.33,8.54,0.305,0.209,,4.0,2.342,4.77,0.416,0.261,0.143,3.0,2.151,3.77,0.408,0.243,0.123,0.417,,,,,
2026-04-26,Cordoba,Sp Gijon,Spain/Segunda_Division,7.94,3.33,8.54,0.433,0.32,,4.76,2.342,4.77,0.544,0.376,0.229,3.17,2.151,3.77,0.44,0.269,0.14,0.553,,,,,
2026-04-26,Granada,Almeria,Spain/Segunda_Division,7.92,3.33,8.54,0.43,0.317,,4.15,2.342,4.77,0.441,0.283,0.158,3.52,2.151,3.77,0.504,0.325,0.179,0.55,,,,,
2026-04-26,Huesca,Zaragoza,Spain/Segunda_Division,7.4,3.33,8.54,0.371,0.264,,3.75,2.342,4.77,0.374,0.227,0.12,3.54,2.151,3.77,0.508,0.328,0.181,0.488,,,,,
2026-04-26,Leganés,FC Andorra,Spain/Segunda_Division,7.3,3.33,8.54,0.359,0.254,,4.89,2.342,4.77,0.565,0.396,0.245,2.91,2.151,3.77,0.392,0.23,0.115,0.476,,,,,
2026-04-26,Mirandes,Cultural Leonesa,Spain/Segunda_Division,9.07,3.33,8.54,0.568,0.449,,5.33,2.342,4.77,0.639,0.471,0.309,3.26,2.151,3.77,0.456,0.283,0.149,0.682,,,,,
2026-04-26,Galatasaray,Fenerbahce,Turkey/Super_Lig,9.36,3.327,8.47,0.602,0.483,,5.1,2.355,4.69,0.601,0.433,,3.84,2.419,3.77,0.556,0.392,0.246,0.712,0.752,,,,
2026-04-26,Gençlerbirliği,Kocaelispor,Turkey/Super_Lig,8.73,3.327,8.47,0.527,0.408,,4.65,2.355,4.69,0.525,0.359,,4.09,2.419,3.77,0.596,0.433,0.28,0.644,0.687,,,,
