Date,HomeTeam,AwayTeam,liga,TOT_SHOTS_avg2y,TOT_SHOTS_P_over_8.5,TOT_SHOTS_acc_8.5,TOT_SHOTS_P_over_9.5,TOT_SHOTS_acc_9.5,TOT_SHOTS_P_over_10.5,TOT_SHOTS_acc_10.5,H_SHOTS_avg2y,H_SHOTS_P_over_4.5,H_SHOTS_acc_4.5,H_SHOTS_P_over_5.5,H_SHOTS_acc_5.5,H_SHOTS_P_over_6.5,H_SHOTS_acc_6.5,A_SHOTS_avg2y,A_SHOTS_P_over_3.5,A_SHOTS_acc_3.5,A_SHOTS_P_over_4.5,A_SHOTS_acc_4.5,A_SHOTS_P_over_5.5,A_SHOTS_acc_5.5,TOT_SHOTS_P_over_7.5,TOT_SHOTS_acc_7.5,H_SHOTS_P_over_3.5,H_SHOTS_acc_3.5,A_SHOTS_P_over_2.5,A_SHOTS_acc_2.5,TOT_SHOTS_P_over_6.5,TOT_SHOTS_acc_6.5,TOT_SHOTS_P_over_11.5,TOT_SHOTS_acc_11.5,A_SHOTS_P_over_6.5,A_SHOTS_acc_6.5
2026-04-26,Gent,Club Brugge,Belgium/First_Division_A,8.85,0.553,0.496,0.438,0.613,0.323,0.715,4.79,0.464,0.59,0.351,0.68,0.204,0.777,4.06,0.622,0.598,0.436,0.621,0.292,0.746,,,,,,,,,,,,
2026-04-26,Mechelen,Sint-Truidense VV,Belgium/First_Division_A,8.85,0.556,0.496,0.447,0.613,0.332,0.715,4.79,0.498,0.59,0.343,0.68,0.258,0.777,4.06,0.591,0.598,0.453,0.621,0.194,0.746,,,,,,,,,,,,
2026-04-26,RSC Anderlecht,Royale Union Saint-Gilloise,Belgium/First_Division_A,8.85,0.559,0.496,0.438,0.613,0.325,0.715,4.79,0.513,0.59,0.262,0.68,0.237,0.777,4.06,0.625,0.598,0.464,0.621,0.183,0.746,,,,,,,,,,,,
2026-04-26,SV Zulte Waregem,RAAL La Louvière,Belgium/First_Division_A,8.85,0.559,0.496,0.438,0.613,0.325,0.715,4.79,0.513,0.59,0.262,0.68,0.237,0.777,4.06,0.625,0.598,0.464,0.621,0.183,0.746,,,,,,,,,,,,
2026-04-26,Coventry,Wrexham,England/Championship,8.04,0.51,0.581,0.3,0.704,,,4.43,0.667,0.601,0.496,0.694,,,3.62,0.378,0.544,0.239,0.681,,,0.626,0.536,0.704,0.601,0.558,0.675,,,,,,
2026-04-26,Le Havre,Metz,France/Ligue_1,8.49,0.463,0.5,0.344,0.643,,,4.68,0.57,0.612,0.375,0.674,,,3.81,0.387,0.581,0.228,0.736,0.125,0.806,0.573,0.605,0.751,0.647,,,,,,,,
2026-04-26,Lorient,Strasbourg,France/Ligue_1,8.49,0.467,0.5,0.344,0.643,,,4.68,0.35,0.612,0.224,0.674,,,3.81,0.631,0.581,0.332,0.736,0.202,0.806,0.596,0.605,0.522,0.647,,,,,,,,
2026-04-26,Marseille,Nice,France/Ligue_1,8.49,0.482,0.5,0.346,0.643,,,4.68,0.565,0.612,0.491,0.674,,,3.81,0.405,0.581,0.202,0.736,0.122,0.806,0.58,0.605,0.778,0.647,,,,,,,,
2026-04-26,Paris FC,Lille,France/Ligue_1,8.49,0.464,0.5,0.339,0.643,,,4.68,0.35,0.612,0.216,0.674,,,3.81,0.704,0.581,0.506,0.736,0.319,0.806,0.549,0.605,0.547,0.647,,,,,,,,
2026-04-26,Rennes,Nantes,France/Ligue_1,8.49,0.482,0.5,0.348,0.643,,,4.68,0.652,0.612,0.521,0.674,,,3.81,0.423,0.581,0.262,0.736,0.11,0.806,0.631,0.605,0.868,0.647,,,,,,,,
2026-04-26,Dortmund,Freiburg,Germany/Bundesliga_1,9.35,0.566,0.552,0.435,0.575,0.374,0.697,5.25,0.648,0.582,0.494,0.648,0.44,0.759,4.1,0.357,0.636,0.299,0.644,0.122,0.785,,,,,,,,,,,,
2026-04-26,Stuttgart,Werder Bremen,Germany/Bundesliga_1,9.35,0.647,0.552,0.499,0.575,0.424,0.697,5.25,0.722,0.582,0.622,0.648,0.442,0.759,4.1,0.367,0.636,0.289,0.644,0.162,0.785,,,,,,,,,,,,
2026-04-26,Bochum,Greuther Furth,Germany/Bundesliga_2,9.13,0.687,0.563,0.663,0.544,0.449,0.697,4.97,0.64,0.521,0.485,0.617,0.49,0.728,4.15,0.598,0.575,0.448,0.613,0.242,0.716,,,,,,,,,,,,
2026-04-26,Nurnberg,Magdeburg,Germany/Bundesliga_2,9.13,0.68,0.563,0.475,0.544,0.424,0.697,4.97,0.602,0.521,0.444,0.617,0.275,0.728,4.15,0.69,0.575,0.43,0.613,0.372,0.716,,,,,,,,,,,,
2026-04-26,Paderborn,Schalke 04,Germany/Bundesliga_2,9.13,0.624,0.563,0.53,0.544,0.391,0.697,4.97,0.631,0.521,0.441,0.617,0.229,0.728,4.15,0.615,0.575,0.448,0.613,0.253,0.716,,,,,,,,,,,,
2026-04-26,AEL,Panserraikos,Greece/Super_League,7.79,0.583,0.589,0.581,0.729,,,4.19,0.584,0.682,0.554,0.771,,,3.6,0.583,0.677,0.252,0.766,,,0.729,0.562,0.677,0.62,0.762,0.724,,,,,,
2026-04-26,Atromitos,Asteras Tripolis,Greece/Super_League,7.79,0.415,0.589,0.139,0.729,,,4.19,0.302,0.682,0.237,0.771,,,3.6,0.454,0.677,0.272,0.766,,,0.511,0.562,0.567,0.62,0.68,0.724,,,,,,
2026-04-26,Kifisia,Panetolikos,Greece/Super_League,7.79,0.417,0.589,0.314,0.729,,,4.19,0.548,0.682,0.42,0.771,,,3.6,0.362,0.677,0.286,0.766,,,0.575,0.562,0.661,0.62,0.528,0.724,,,,,,
2026-04-26,Fiorentina,Sassuolo,Italy/Serie_A,8.07,0.456,0.512,0.396,0.7,,,4.43,0.586,0.631,0.355,0.694,,,3.64,0.485,0.597,0.309,0.703,,,0.656,0.578,0.715,0.644,0.719,0.691,,,,,,
2026-04-26,Genoa,Como,Italy/Serie_A,8.07,0.58,0.512,0.486,0.7,,,4.43,0.479,0.631,0.371,0.694,,,3.64,0.688,0.597,0.49,0.703,,,0.696,0.578,0.647,0.644,0.787,0.691,,,,,,
2026-04-26,Milan,Juventus,Italy/Serie_A,8.07,0.449,0.512,0.287,0.7,,,4.43,0.348,0.631,0.279,0.694,,,3.64,0.551,0.597,0.367,0.703,,,0.652,0.578,0.59,0.644,0.781,0.691,,,,,,
2026-04-26,Torino,Inter,Italy/Serie_A,8.07,0.548,0.512,0.483,0.7,,,4.43,0.222,0.631,0.197,0.694,,,3.64,0.77,0.597,0.632,0.703,,,0.666,0.578,0.46,0.644,0.858,0.691,,,,,,
2026-04-26,Excelsior,Utrecht,Netherlands/Eredivisie,10.44,,,0.499,0.537,0.38,0.563,5.59,0.469,0.667,0.449,0.704,0.325,0.719,4.85,,,0.575,0.567,0.34,0.626,,,,,,,,,0.305,0.652,0.401,0.752
2026-04-26,Heracles,Volendam,Netherlands/Eredivisie,10.44,,,0.331,0.537,0.368,0.563,5.59,0.521,0.667,0.312,0.704,0.2,0.719,4.85,,,0.442,0.567,0.269,0.626,,,,,,,,,0.28,0.652,0.153,0.752
2026-04-26,Dundee United,Dundee,Scotland/Premiership,8.75,0.451,0.525,0.329,0.641,0.255,0.747,4.94,0.511,0.621,0.345,0.702,0.213,0.788,3.81,0.494,0.611,0.285,0.707,0.184,0.808,,,,,,,,,,,,
2026-04-26,Hibernian,Hearts,Scotland/Premiership,8.75,0.48,0.525,0.291,0.641,0.341,0.747,4.94,0.439,0.621,0.266,0.702,0.207,0.788,3.81,0.542,0.611,0.347,0.707,0.173,0.808,,,,,,,,,,,,
2026-04-26,Rangers,Motherwell,Scotland/Premiership,8.75,0.64,0.525,0.496,0.641,0.406,0.747,4.94,0.794,0.621,0.68,0.702,0.504,0.788,3.81,0.461,0.611,0.204,0.707,0.055,0.808,,,,,,,,,,,,
2026-04-26,Osasuna,Sevilla,Spain/La_Liga,8.7,0.483,0.565,0.388,0.645,,,4.88,0.658,0.665,0.515,0.729,0.256,0.79,3.83,0.403,0.561,0.238,0.7,0.072,0.819,0.588,0.645,,,,,,,,,,
2026-04-26,Oviedo,Elche,Spain/La_Liga,8.7,0.441,0.565,0.318,0.645,,,4.88,0.474,0.665,0.349,0.729,0.252,0.79,3.83,0.442,0.561,0.262,0.7,0.085,0.819,0.546,0.645,,,,,,,,,,
2026-04-26,Vallecano,Sociedad,Spain/La_Liga,8.7,0.465,0.565,0.403,0.645,,,4.88,0.509,0.665,0.415,0.729,0.212,0.79,3.83,0.554,0.561,0.35,0.7,0.222,0.819,0.621,0.645,,,,,,,,,,
2026-04-26,Villarreal,Celta,Spain/La_Liga,8.7,0.46,0.565,0.386,0.645,,,4.88,0.579,0.665,0.411,0.729,0.242,0.79,3.83,0.369,0.561,0.257,0.7,0.127,0.819,0.6,0.645,,,,,,,,,,
2026-04-26,Ceuta,Racing Santander,Spain/Segunda_Division,8.54,0.386,0.569,0.16,0.634,,,4.77,0.36,0.584,0.227,0.647,0.172,0.79,3.77,0.384,0.525,0.145,0.655,0.115,0.803,0.381,0.582,,,,,,,,,,
2026-04-26,Cordoba,Sp Gijon,Spain/Segunda_Division,8.54,0.403,0.569,0.315,0.634,,,4.77,0.43,0.584,0.294,0.647,0.217,0.79,3.77,0.453,0.525,0.227,0.655,0.132,0.803,0.502,0.582,,,,,,,,,,
2026-04-26,Granada,Almeria,Spain/Segunda_Division,8.54,0.409,0.569,0.303,0.634,,,4.77,0.531,0.584,0.26,0.647,0.15,0.79,3.77,0.493,0.525,0.187,0.655,0.137,0.803,0.591,0.582,,,,,,,,,,
2026-04-26,Huesca,Zaragoza,Spain/Segunda_Division,8.54,0.296,0.569,0.254,0.634,,,4.77,0.269,0.584,0.208,0.647,0.119,0.79,3.77,0.446,0.525,0.326,0.655,0.213,0.803,0.454,0.582,,,,,,,,,,
2026-04-26,Leganés,FC Andorra,Spain/Segunda_Division,8.54,0.3,0.569,0.16,0.634,,,4.77,0.534,0.584,0.343,0.647,0.147,0.79,3.77,0.421,0.525,0.097,0.655,0.089,0.803,0.367,0.582,,,,,,,,,,
2026-04-26,Mirandes,Cultural Leonesa,Spain/Segunda_Division,8.54,0.515,0.569,0.417,0.634,,,4.77,0.558,0.584,0.416,0.647,0.234,0.79,3.77,0.389,0.525,0.307,0.655,0.141,0.803,0.587,0.582,,,,,,,,,,
2026-04-26,Galatasaray,Fenerbahce,Turkey/Super_Lig,8.47,0.519,0.467,0.449,0.598,,,4.69,0.56,0.613,0.447,0.678,,,3.77,0.494,0.533,0.347,0.701,0.2,0.801,0.62,0.575,0.709,0.632,,,,,,,,
2026-04-26,Gençlerbirliği,Kocaelispor,Turkey/Super_Lig,8.47,0.528,0.467,0.391,0.598,,,4.69,0.546,0.613,0.309,0.678,,,3.77,0.573,0.533,0.351,0.701,0.221,0.801,0.577,0.575,0.66,0.632,,,,,,,,
2026-04-27,Man United,Brentford,England/Premier_League,8.33,0.739,0.514,0.602,0.687,,,4.43,0.691,0.614,0.511,0.705,,,3.9,0.477,0.596,0.356,0.655,0.173,0.777,0.811,0.599,0.869,0.668,,,,,,,,
2026-04-27,Boulogne,Dunkerque,France/Ligue_2,7.74,0.395,0.636,,,,,4.07,0.364,0.602,0.233,0.766,,,3.66,0.499,0.61,0.332,0.673,,,0.432,0.524,0.541,0.561,0.737,0.691,0.635,0.628,,,,
2026-04-27,Cagliari,Atalanta,Italy/Serie_A,8.07,0.495,0.512,0.347,0.7,,,4.43,0.196,0.631,0.2,0.694,,,3.64,0.743,0.597,0.558,0.703,,,0.625,0.578,0.415,0.644,0.84,0.691,,,,,,
2026-04-27,Lazio,Udinese,Italy/Serie_A,8.07,0.474,0.512,0.394,0.7,,,4.43,0.588,0.631,0.318,0.694,,,3.64,0.473,0.597,0.252,0.703,,,0.666,0.578,0.749,0.644,0.674,0.691,,,,,,
2026-04-27,Espanol,Levante,Spain/La_Liga,8.7,0.386,0.565,0.297,0.645,,,4.88,0.423,0.665,0.32,0.729,0.161,0.79,3.83,0.507,0.561,0.264,0.7,0.122,0.819,0.608,0.645,,,,,,,,,,
2026-04-27,Cadiz,Las Palmas,Spain/Segunda_Division,8.54,0.32,0.569,0.272,0.634,,,4.77,0.369,0.584,0.219,0.647,0.13,0.79,3.77,0.464,0.525,0.382,0.655,0.206,0.803,0.381,0.582,,,,,,,,,,
2026-04-27,Alanyaspor,Samsunspor,Turkey/Super_Lig,8.47,0.525,0.467,0.373,0.598,,,4.69,0.506,0.613,0.232,0.678,,,3.77,0.484,0.533,0.297,0.701,0.228,0.801,0.604,0.575,0.627,0.632,,,,,,,,
2026-04-27,Besiktas,Karagumruk,Turkey/Super_Lig,8.47,0.521,0.467,0.42,0.598,,,4.69,0.698,0.613,0.652,0.678,,,3.77,0.432,0.533,0.314,0.701,0.201,0.801,0.635,0.575,0.863,0.632,,,,,,,,
2026-04-27,Konyaspor,Trabzonspor,Turkey/Super_Lig,8.47,0.522,0.467,0.435,0.598,,,4.69,0.513,0.613,0.258,0.678,,,3.77,0.598,0.533,0.38,0.701,0.242,0.801,0.695,0.575,0.699,0.632,,,,,,,,
2026-04-28,Southampton,Ipswich,England/Championship,8.04,0.511,0.581,0.351,0.704,,,4.43,0.588,0.601,0.441,0.694,,,3.62,0.509,0.544,0.356,0.681,,,0.625,0.536,0.766,0.601,0.752,0.675,,,,,,
2026-04-28,Southampton,Ipswich Town,England/Championship,8.04,0.611,0.581,0.432,0.704,,,4.43,0.665,0.601,0.509,0.694,,,3.62,0.494,0.544,0.406,0.681,,,0.726,0.536,0.864,0.601,0.704,0.675,,,,,,
2026-04-28,Northampton,Barnsley,England/League_One,7.69,0.543,0.609,,,,,4.33,0.404,0.558,0.195,0.716,,,3.36,0.661,0.535,0.461,0.757,,,0.613,0.509,0.577,0.613,0.779,0.621,0.74,0.625,,,,
2026-04-28,Peterboro,Mansfield,England/League_One,7.69,0.389,0.609,,,,,4.33,0.613,0.558,0.379,0.716,,,3.36,0.472,0.535,0.351,0.757,,,0.626,0.509,0.73,0.613,0.717,0.621,0.763,0.625,,,,
2026-04-28,Stockport,Port Vale,England/League_One,7.69,0.393,0.609,,,,,4.33,0.639,0.558,0.421,0.716,,,3.36,0.386,0.535,0.224,0.757,,,0.628,0.509,0.789,0.613,0.615,0.621,0.794,0.625,,,,
2026-05-01,Cercle Brugge,SV Zulte Waregem,Belgium/First_Division_A,8.85,0.572,0.496,0.455,0.613,0.327,0.715,4.79,0.559,0.59,0.304,0.68,0.258,0.777,4.06,0.52,0.598,0.354,0.621,0.17,0.746,,,,,,,,,,,,
2026-05-01,Leeds,Burnley,England/Premier_League,8.33,0.486,0.514,0.356,0.687,,,4.43,0.546,0.614,0.493,0.705,,,3.9,0.487,0.596,0.317,0.655,0.189,0.777,0.637,0.599,0.723,0.668,,,,,,,,
2026-05-01,Nantes,Marseille,France/Ligue_1,8.49,0.476,0.5,0.358,0.643,,,4.68,0.327,0.612,0.217,0.674,,,3.81,0.769,0.581,0.619,0.736,0.404,0.806,0.655,0.605,0.466,0.647,,,,,,,,
2026-05-01,Bari,Virtus Entella,Italy/Serie_B,8.36,0.387,0.562,0.309,0.665,,,4.7,0.544,0.579,0.281,0.709,,,3.66,0.488,0.535,0.228,0.674,,,0.531,0.597,0.712,0.635,0.689,0.671,,,,,,
2026-05-01,Carrarese,Cesena,Italy/Serie_B,8.36,0.412,0.562,0.322,0.665,,,4.7,0.487,0.579,0.34,0.709,,,3.66,0.497,0.535,0.267,0.674,,,0.449,0.597,0.646,0.635,0.711,0.671,,,,,,
2026-05-01,Empoli,Avellino,Italy/Serie_B,8.36,0.404,0.562,0.316,0.665,,,4.7,0.512,0.579,0.257,0.709,,,3.66,0.461,0.535,0.324,0.674,,,0.432,0.597,0.614,0.635,0.703,0.671,,,,,,
2026-05-01,Juve Stabia,Frosinone,Italy/Serie_B,8.36,0.424,0.562,0.324,0.665,,,4.7,0.369,0.579,0.29,0.709,,,3.66,0.51,0.535,0.303,0.674,,,0.457,0.597,0.557,0.635,0.73,0.671,,,,,,
2026-05-01,Mantova,Monza,Italy/Serie_B,8.36,0.355,0.562,0.317,0.665,,,4.7,0.382,0.579,0.272,0.709,,,3.66,0.531,0.535,0.329,0.674,,,0.565,0.597,0.526,0.635,0.713,0.671,,,,,,
2026-05-01,Modena,Reggiana,Italy/Serie_B,8.36,0.471,0.562,0.305,0.665,,,4.7,0.464,0.579,0.294,0.709,,,3.66,0.477,0.535,0.262,0.674,,,0.528,0.597,0.713,0.635,0.689,0.671,,,,,,
2026-05-01,Padova,Pescara,Italy/Serie_B,8.36,0.421,0.562,0.309,0.665,,,4.7,0.395,0.579,0.272,0.709,,,3.66,0.532,0.535,0.401,0.674,,,0.467,0.597,0.55,0.635,0.721,0.671,,,,,,
2026-05-01,Palermo,Catanzaro,Italy/Serie_B,8.36,0.473,0.562,0.348,0.665,,,4.7,0.466,0.579,0.317,0.709,,,3.66,0.505,0.535,0.344,0.674,,,0.604,0.597,0.65,0.635,0.713,0.671,,,,,,
2026-05-01,Sampdoria,Sudtirol,Italy/Serie_B,8.36,0.473,0.562,0.317,0.665,,,4.7,0.445,0.579,0.266,0.709,,,3.66,0.488,0.535,0.321,0.674,,,0.52,0.597,0.566,0.635,0.717,0.671,,,,,,
2026-05-01,Spezia,Venezia,Italy/Serie_B,8.36,0.439,0.562,0.316,0.665,,,4.7,0.385,0.579,0.25,0.709,,,3.66,0.56,0.535,0.455,0.674,,,0.586,0.597,0.601,0.635,0.727,0.671,,,,,,
2026-05-01,Ayr,St Johnstone,Scotland/Championship,7.35,0.444,0.655,,,,,3.81,0.324,0.661,0.162,0.77,,,3.53,0.708,0.545,0.518,0.739,,,0.665,0.503,0.363,0.588,0.767,0.673,0.743,0.57,,,,
2026-05-01,Dunfermline,Arbroath,Scotland/Championship,7.35,0.464,0.655,,,,,3.81,0.57,0.661,0.485,0.77,,,3.53,0.458,0.545,0.21,0.739,,,0.581,0.503,0.674,0.588,0.704,0.673,0.679,0.57,,,,
2026-05-01,Morton,Airdrie Utd,Scotland/Championship,7.35,0.454,0.655,,,,,3.81,0.539,0.661,0.19,0.77,,,3.53,0.519,0.545,0.35,0.739,,,0.482,0.503,0.511,0.588,0.692,0.673,0.691,0.57,,,,
2026-05-01,Partick,Queens Park,Scotland/Championship,7.35,0.48,0.655,,,,,3.81,0.552,0.661,0.456,0.77,,,3.53,0.409,0.545,0.208,0.739,,,0.631,0.503,0.793,0.588,0.754,0.673,0.759,0.57,,,,
2026-05-01,Raith Rvs,Ross County,Scotland/Championship,7.35,0.465,0.655,,,,,3.81,0.509,0.661,0.375,0.77,,,3.53,0.479,0.545,0.294,0.739,,,0.471,0.503,0.606,0.588,0.665,0.673,0.644,0.57,,,,
2026-05-01,Livingston,Aberdeen,Scotland/Premiership,8.75,0.432,0.525,0.287,0.641,0.24,0.747,4.94,0.407,0.621,0.292,0.702,0.195,0.788,3.81,0.494,0.611,0.513,0.707,0.224,0.808,,,,,,,,,,,,
2026-05-01,Girona,Mallorca,Spain/La_Liga,8.7,0.413,0.565,0.305,0.645,,,4.88,0.492,0.665,0.283,0.729,0.19,0.79,3.83,0.409,0.561,0.351,0.7,0.118,0.819,0.567,0.645,,,,,,,,,,
2026-05-01,Deportivo La Coruña,Leganés,Spain/Segunda_Division,8.54,0.302,0.569,0.163,0.634,,,4.77,0.56,0.584,0.361,0.647,0.147,0.79,3.77,0.421,0.525,0.097,0.655,0.089,0.803,0.367,0.582,,,,,,,,,,
2026-05-01,FC Andorra,Albacete,Spain/Segunda_Division,8.54,0.294,0.569,0.157,0.634,,,4.77,0.5,0.584,0.306,0.647,0.142,0.79,3.77,0.419,0.525,0.174,0.655,0.108,0.803,0.407,0.582,,,,,,,,,,
2026-05-01,Zaragoza,Granada,Spain/Segunda_Division,8.54,0.28,0.569,0.178,0.634,,,4.77,0.303,0.584,0.211,0.647,0.115,0.79,3.77,0.466,0.525,0.284,0.655,0.187,0.803,0.5,0.582,,,,,,,,,,
2026-05-02,RC Sporting Charleroi,Genk,Belgium/First_Division_A,8.85,0.574,0.496,0.432,0.613,0.325,0.715,4.79,0.468,0.59,0.326,0.68,0.247,0.777,4.06,0.658,0.598,0.446,0.621,0.245,0.746,,,,,,,,,,,,
2026-05-02,Sint-Truidense VV,Royale Union Saint-Gilloise,Belgium/First_Division_A,8.85,0.559,0.496,0.438,0.613,0.325,0.715,4.79,0.513,0.59,0.236,0.68,0.237,0.777,4.06,0.625,0.598,0.464,0.621,0.183,0.746,,,,,,,,,,,,
2026-05-02,Westerlo,Oud-Heverlee Leuven,Belgium/First_Division_A,8.85,0.566,0.496,0.446,0.613,0.33,0.715,4.79,0.651,0.59,0.4,0.68,0.336,0.777,4.06,0.5,0.598,0.342,0.621,0.187,0.746,,,,,,,,,,,,
2026-05-02,Blackburn,Leicester City,England/Championship,8.04,0.492,0.581,0.43,0.704,,,4.43,0.542,0.601,0.315,0.694,,,3.62,0.675,0.544,0.473,0.681,,,0.567,0.536,0.793,0.601,0.727,0.675,,,,,,
2026-05-02,Bristol City,Stoke,England/Championship,8.04,0.4,0.581,0.28,0.704,,,4.43,0.534,0.601,0.337,0.694,,,3.62,0.511,0.544,0.331,0.681,,,0.54,0.536,0.657,0.601,0.646,0.675,,,,,,
2026-05-02,Derby,Sheffield United,England/Championship,8.04,0.437,0.581,0.298,0.704,,,4.43,0.399,0.601,0.28,0.694,,,3.62,0.555,0.544,0.353,0.681,,,0.593,0.536,0.66,0.601,0.724,0.675,,,,,,
2026-05-02,Derby,Sheffield Utd,England/Championship,8.04,0.491,0.581,0.425,0.704,,,4.43,0.504,0.601,0.34,0.694,,,3.62,0.567,0.544,0.47,0.681,,,0.553,0.536,0.812,0.601,0.729,0.675,,,,,,
2026-05-02,Hull,Norwich,England/Championship,8.04,0.45,0.581,0.344,0.704,,,4.43,0.411,0.601,0.337,0.694,,,3.62,0.564,0.544,0.356,0.681,,,0.615,0.536,0.682,0.601,0.767,0.675,,,,,,
2026-05-02,Ipswich,QPR,England/Championship,8.04,0.403,0.581,0.304,0.704,,,4.43,0.583,0.601,0.365,0.694,,,3.62,0.37,0.544,0.238,0.681,,,0.577,0.536,0.663,0.601,0.556,0.675,,,,,,
2026-05-02,Ipswich Town,QPR,England/Championship,8.04,0.44,0.581,0.363,0.704,,,4.43,0.491,0.601,0.445,0.694,,,3.62,0.634,0.544,0.369,0.681,,,0.628,0.536,0.741,0.601,0.725,0.675,,,,,,
2026-05-02,Millwall,Oxford,England/Championship,8.04,0.409,0.581,0.226,0.704,,,4.43,0.435,0.601,0.318,0.694,,,3.62,0.418,0.544,0.245,0.681,,,0.545,0.536,0.686,0.601,0.68,0.675,,,,,,
2026-05-02,Portsmouth,Birmingham,England/Championship,8.04,0.472,0.581,0.327,0.704,,,4.43,0.536,0.601,0.389,0.694,,,3.62,0.586,0.544,0.35,0.681,,,0.663,0.536,0.711,0.601,0.75,0.675,,,,,,
2026-05-02,Preston NE,Southampton,England/Championship,8.04,0.505,0.581,0.504,0.704,,,4.43,0.442,0.601,0.405,0.694,,,3.62,0.628,0.544,0.493,0.681,,,0.708,0.536,0.663,0.601,0.785,0.675,,,,,,
2026-05-02,Sheffield Wed,West Brom,England/Championship,8.04,0.46,0.581,0.404,0.704,,,4.43,0.515,0.601,0.426,0.694,,,3.62,0.611,0.544,0.404,0.681,,,0.626,0.536,0.715,0.601,0.706,0.675,,,,,,
2026-05-02,Sheffield Weds,West Brom,England/Championship,8.04,0.441,0.581,0.341,0.704,,,4.43,0.363,0.601,0.227,0.694,,,3.62,0.629,0.544,0.538,0.681,,,0.584,0.536,0.428,0.601,0.787,0.675,,,,,,
2026-05-02,Swansea,Charlton,England/Championship,8.04,0.317,0.581,0.272,0.704,,,4.43,0.442,0.601,0.34,0.694,,,3.62,0.438,0.544,0.236,0.681,,,0.481,0.536,0.662,0.601,0.645,0.675,,,,,,
2026-05-02,Watford,Coventry,England/Championship,8.04,0.584,0.581,0.475,0.704,,,4.43,0.4,0.601,0.29,0.694,,,3.62,0.619,0.544,0.525,0.681,,,0.624,0.536,0.538,0.601,0.787,0.675,,,,,,
2026-05-02,Wrexham,Middlesbrough,England/Championship,8.04,0.486,0.581,0.395,0.704,,,4.43,0.473,0.601,0.275,0.694,,,3.62,0.596,0.544,0.449,0.681,,,0.614,0.536,0.608,0.601,0.756,0.675,,,,,,
2026-05-02,AFC Wimbledon,Huddersfield,England/League_One,7.69,0.545,0.609,,,,,4.33,0.463,0.558,0.237,0.716,,,3.36,0.734,0.535,0.596,0.757,,,0.6,0.509,0.554,0.613,0.844,0.621,0.774,0.625,,,,
2026-05-02,Barnsley,Stockport,England/League_One,7.69,0.474,0.609,,,,,4.33,0.397,0.558,0.284,0.716,,,3.36,0.725,0.535,0.492,0.757,,,0.662,0.509,0.606,0.613,0.787,0.621,0.712,0.625,,,,
2026-05-02,Bolton,Luton,England/League_One,7.69,0.528,0.609,,,,,4.33,0.461,0.558,0.264,0.716,,,3.36,0.554,0.535,0.341,0.757,,,0.68,0.509,0.666,0.613,0.611,0.621,0.802,0.625,,,,
2026-05-02,Exeter,Bradford,England/League_One,7.69,0.455,0.609,,,,,4.33,0.416,0.558,0.295,0.716,,,3.36,0.597,0.535,0.455,0.757,,,0.577,0.509,0.608,0.613,0.756,0.621,0.734,0.625,,,,
2026-05-02,Leyton Orient,Burton,England/League_One,7.69,0.418,0.609,,,,,4.33,0.461,0.558,0.285,0.716,,,3.36,0.491,0.535,0.261,0.757,,,0.6,0.509,0.604,0.613,0.693,0.621,0.706,0.625,,,,
2026-05-02,Mansfield,Cardiff,England/League_One,7.69,0.583,0.609,,,,,4.33,0.524,0.558,0.333,0.716,,,3.36,0.723,0.535,0.494,0.757,,,0.725,0.509,0.619,0.613,0.832,0.621,0.782,0.625,,,,
2026-05-02,Northampton,Plymouth,England/League_One,7.69,0.489,0.609,,,,,4.33,0.351,0.558,0.225,0.716,,,3.36,0.671,0.535,0.622,0.757,,,0.624,0.509,0.519,0.613,0.837,0.621,0.733,0.625,,,,
