Date,HomeTeam,AwayTeam,liga,TOT_SHOTS_avg2y,TOT_SHOTS_pred,TOT_SHOTS_sigma,TOT_SHOTS_P_over_8.5,TOT_SHOTS_acc_8.5,TOT_SHOTS_P_over_9.5,TOT_SHOTS_acc_9.5,TOT_SHOTS_P_over_10.5,TOT_SHOTS_acc_10.5,H_SHOTS_avg2y,H_SHOTS_pred,H_SHOTS_sigma,H_SHOTS_P_over_4.5,H_SHOTS_acc_4.5,H_SHOTS_P_over_5.5,H_SHOTS_acc_5.5,H_SHOTS_P_over_6.5,H_SHOTS_acc_6.5,A_SHOTS_avg2y,A_SHOTS_pred,A_SHOTS_sigma,A_SHOTS_P_over_3.5,A_SHOTS_acc_3.5,A_SHOTS_P_over_4.5,A_SHOTS_acc_4.5,A_SHOTS_P_over_5.5,A_SHOTS_acc_5.5,TOT_SHOTS_P_over_7.5,TOT_SHOTS_acc_7.5,H_SHOTS_P_over_3.5,H_SHOTS_acc_3.5,A_SHOTS_P_over_2.5,A_SHOTS_acc_2.5,TOT_SHOTS_P_over_6.5,TOT_SHOTS_acc_6.5,TOT_SHOTS_P_over_11.5,TOT_SHOTS_acc_11.5,A_SHOTS_P_over_6.5,A_SHOTS_acc_6.5
2026-04-27,Man United,Brentford,England/Premier_League,8.33,11.02,2.876,0.739,0.514,0.602,0.687,,,4.43,6.44,2.071,0.691,0.614,0.511,0.705,,,3.9,3.64,2.047,0.477,0.596,0.356,0.655,0.173,0.777,0.811,0.599,0.869,0.668,,,,,,,,
2026-04-27,Boulogne,Dunkerque,France/Ligue_2,7.74,7.78,3.087,0.395,0.636,,,,,4.07,4.11,2.295,0.364,0.602,0.233,0.766,,,3.66,3.74,2.0,0.499,0.61,0.332,0.673,,,0.432,0.524,0.541,0.561,0.737,0.691,0.635,0.628,,,,
2026-04-27,Cagliari,Atalanta,Italy/Serie_A,8.07,8.02,2.825,0.495,0.512,0.347,0.7,,,4.43,3.35,2.262,0.196,0.631,0.2,0.694,,,3.64,5.39,1.933,0.743,0.597,0.558,0.703,,,0.625,0.578,0.415,0.644,0.84,0.691,,,,,,
2026-04-27,Lazio,Udinese,Italy/Serie_A,8.07,8.21,2.825,0.474,0.512,0.394,0.7,,,4.43,5.09,2.262,0.588,0.631,0.318,0.694,,,3.64,3.7,1.933,0.473,0.597,0.252,0.703,,,0.666,0.578,0.749,0.644,0.674,0.691,,,,,,
2026-04-27,Espanol,Levante,Spain/La_Liga,8.7,8.22,2.833,0.386,0.565,0.297,0.645,,,4.88,4.49,2.082,0.423,0.665,0.32,0.729,0.161,0.79,3.83,3.36,2.061,0.507,0.561,0.264,0.7,0.122,0.819,0.608,0.645,,,,,,,,,,
2026-04-27,Cadiz,Las Palmas,Spain/Segunda_Division,8.54,6.75,3.33,0.32,0.569,0.272,0.634,,,4.77,4.22,2.342,0.369,0.584,0.219,0.647,0.13,0.79,3.77,3.59,2.151,0.464,0.525,0.382,0.655,0.206,0.803,0.381,0.582,,,,,,,,,,
2026-04-27,Alanyaspor,Samsunspor,Turkey/Super_Lig,8.47,8.51,3.327,0.525,0.467,0.373,0.598,,,4.69,4.7,2.355,0.506,0.613,0.232,0.678,,,3.77,3.83,2.419,0.484,0.533,0.297,0.701,0.228,0.801,0.604,0.575,0.627,0.632,,,,,,,,
2026-04-27,Besiktas,Karagumruk,Turkey/Super_Lig,8.47,9.41,3.327,0.521,0.467,0.42,0.598,,,4.69,6.25,2.355,0.698,0.613,0.652,0.678,,,3.77,3.33,2.419,0.432,0.533,0.314,0.701,0.201,0.801,0.635,0.575,0.863,0.632,,,,,,,,
2026-04-27,Konyaspor,Trabzonspor,Turkey/Super_Lig,8.47,9.84,3.327,0.522,0.467,0.435,0.598,,,4.69,4.49,2.355,0.513,0.613,0.258,0.678,,,3.77,4.69,2.419,0.598,0.533,0.38,0.701,0.242,0.801,0.695,0.575,0.699,0.632,,,,,,,,
2026-04-28,Southampton,Ipswich,England/Championship,8.04,8.72,2.913,0.511,0.581,0.351,0.704,,,4.43,5.45,2.288,0.588,0.601,0.441,0.694,,,3.62,3.87,2.075,0.509,0.544,0.356,0.681,,,0.625,0.536,0.766,0.601,0.752,0.675,,,,,,
2026-04-28,Southampton,Ipswich Town,England/Championship,8.04,9.57,2.913,0.611,0.581,0.432,0.704,,,4.43,5.73,2.288,0.665,0.601,0.509,0.694,,,3.62,4.29,2.075,0.494,0.544,0.406,0.681,,,0.726,0.536,0.864,0.601,0.704,0.675,,,,,,
2026-04-28,Northampton,Barnsley,England/League_One,7.69,8.68,3.114,0.543,0.609,,,,,4.33,3.89,2.308,0.404,0.558,0.195,0.716,,,3.36,4.55,2.234,0.661,0.535,0.461,0.757,,,0.613,0.509,0.577,0.613,0.779,0.621,0.74,0.625,,,,
2026-04-28,Peterboro,Mansfield,England/League_One,7.69,8.3,3.114,0.389,0.609,,,,,4.33,5.21,2.308,0.613,0.558,0.379,0.716,,,3.36,3.65,2.234,0.472,0.535,0.351,0.757,,,0.626,0.509,0.73,0.613,0.717,0.621,0.763,0.625,,,,
2026-04-28,Stockport,Port Vale,England/League_One,7.69,8.44,3.114,0.393,0.609,,,,,4.33,5.23,2.308,0.639,0.558,0.421,0.716,,,3.36,3.16,2.234,0.386,0.535,0.224,0.757,,,0.628,0.509,0.789,0.613,0.615,0.621,0.794,0.625,,,,
2026-05-01,Cercle Brugge,SV Zulte Waregem,Belgium/First_Division_A,8.85,9.23,3.11,0.572,0.496,0.455,0.613,0.327,0.715,4.79,5.01,2.264,0.559,0.59,0.304,0.68,0.258,0.777,4.06,4.22,2.261,0.52,0.598,0.354,0.621,0.17,0.746,,,,,,,,,,,,
2026-05-01,Leeds,Burnley,England/Premier_League,8.33,8.58,2.876,0.486,0.514,0.356,0.687,,,4.43,5.23,2.071,0.546,0.614,0.493,0.705,,,3.9,3.46,2.047,0.487,0.596,0.317,0.655,0.189,0.777,0.637,0.599,0.723,0.668,,,,,,,,
2026-05-01,Nantes,Marseille,France/Ligue_1,8.49,9.19,3.15,0.476,0.5,0.358,0.643,,,4.68,3.68,2.307,0.327,0.612,0.217,0.674,,,3.81,5.51,2.198,0.769,0.581,0.619,0.736,0.404,0.806,0.655,0.605,0.466,0.647,,,,,,,,
2026-05-01,Bari,Virtus Entella,Italy/Serie_B,8.36,7.33,3.122,0.387,0.562,0.309,0.665,,,4.7,4.4,2.426,0.544,0.579,0.281,0.709,,,3.66,3.53,2.092,0.488,0.535,0.228,0.674,,,0.531,0.597,0.712,0.635,0.689,0.671,,,,,,
2026-05-01,Carrarese,Cesena,Italy/Serie_B,8.36,8.18,3.122,0.412,0.562,0.322,0.665,,,4.7,5.18,2.426,0.487,0.579,0.34,0.709,,,3.66,3.59,2.092,0.497,0.535,0.267,0.674,,,0.449,0.597,0.646,0.635,0.711,0.671,,,,,,
2026-05-01,Empoli,Avellino,Italy/Serie_B,8.36,7.9,3.122,0.404,0.562,0.316,0.665,,,4.7,4.06,2.426,0.512,0.579,0.257,0.709,,,3.66,3.66,2.092,0.461,0.535,0.324,0.674,,,0.432,0.597,0.614,0.635,0.703,0.671,,,,,,
2026-05-01,Juve Stabia,Frosinone,Italy/Serie_B,8.36,7.49,3.122,0.424,0.562,0.324,0.665,,,4.7,4.17,2.426,0.369,0.579,0.29,0.709,,,3.66,3.99,2.092,0.51,0.535,0.303,0.674,,,0.457,0.597,0.557,0.635,0.73,0.671,,,,,,
2026-05-01,Mantova,Monza,Italy/Serie_B,8.36,7.98,3.122,0.355,0.562,0.317,0.665,,,4.7,3.71,2.426,0.382,0.579,0.272,0.709,,,3.66,4.12,2.092,0.531,0.535,0.329,0.674,,,0.565,0.597,0.526,0.635,0.713,0.671,,,,,,
2026-05-01,Modena,Reggiana,Italy/Serie_B,8.36,8.38,3.122,0.471,0.562,0.305,0.665,,,4.7,4.72,2.426,0.464,0.579,0.294,0.709,,,3.66,3.48,2.092,0.477,0.535,0.262,0.674,,,0.528,0.597,0.713,0.635,0.689,0.671,,,,,,
