iter	MultiClass
0	1.097496648
1	1.096404844
2	1.095319902
3	1.09424918
4	1.09325642
5	1.092169506
6	1.091127587
7	1.090104623
8	1.089109048
9	1.088130307
10	1.087151553
11	1.086185072
12	1.085227481
13	1.084337355
14	1.083391823
15	1.082459337
16	1.081512509
17	1.080598133
18	1.079725532
19	1.07885286
20	1.077996329
21	1.077109659
22	1.07621189
23	1.075325486
24	1.074448742
25	1.073612198
26	1.072734293
27	1.071931696
28	1.071089137
29	1.070259075
30	1.069428444
31	1.068616471
32	1.067824279
33	1.06703809
34	1.066303183
35	1.065532147
36	1.064750752
37	1.06400965
38	1.063290476
39	1.062525818
40	1.061809154
41	1.061060718
42	1.060344111
43	1.059606039
44	1.058888482
45	1.058210896
46	1.057552261
47	1.056882181
48	1.056175139
49	1.055521151
50	1.054858224
51	1.054176909
52	1.053560846
53	1.052925759
54	1.052297278
55	1.051686788
56	1.051082099
57	1.050487209
58	1.049865171
59	1.049217697
60	1.048607578
61	1.048041962
62	1.047445294
63	1.046842129
64	1.046275869
65	1.045692664
66	1.04512118
67	1.044550372
68	1.043987195
69	1.043415658
70	1.04285628
71	1.042304363
72	1.041783106
73	1.04122213
74	1.040699654
75	1.040168663
76	1.039654694
77	1.039134852
78	1.038656803
79	1.038172686
80	1.037673854
81	1.037183555
82	1.036713063
83	1.036227289
84	1.035762697
85	1.035290973
86	1.034828215
87	1.034339094
88	1.033879618
89	1.033429359
90	1.032955646
91	1.032497698
92	1.032062843
93	1.031617633
94	1.031195911
95	1.030774855
96	1.030344852
97	1.029927185
98	1.029498743
99	1.029016443
100	1.028573914
101	1.028167572
102	1.027791159
103	1.027406089
104	1.026981648
105	1.026588501
106	1.026162412
107	1.025754005
108	1.025369901
109	1.024971485
110	1.024556882
111	1.024185272
112	1.023799236
113	1.023415257
114	1.023043169
115	1.022654619
116	1.022296873
117	1.021945695
118	1.021580092
119	1.021223711
120	1.020875617
121	1.020537637
122	1.020182473
123	1.019863015
124	1.019506052
125	1.019142294
126	1.018802129
127	1.018470728
128	1.018167166
129	1.017825448
130	1.017481081
131	1.01715535
132	1.016826852
133	1.016499555
134	1.016181243
135	1.015864191
136	1.015551794
137	1.015234341
138	1.014921152
139	1.014616461
140	1.014286444
141	1.013985082
142	1.013682835
143	1.013378123
144	1.013081939
145	1.012783641
146	1.012489946
147	1.012164948
148	1.011865048
149	1.011589635
150	1.011321142
151	1.01104868
152	1.010780651
153	1.01050209
154	1.010236704
155	1.00994315
156	1.009685403
157	1.009389633
158	1.00907788
159	1.008822124
160	1.008546959
161	1.008289196
162	1.007961698
163	1.007693361
164	1.007434985
165	1.007152758
166	1.006892388
167	1.00663336
168	1.006395934
169	1.006133964
170	1.005910946
171	1.005674347
172	1.005400191
173	1.005161102
174	1.004938397
175	1.004675791
176	1.004440627
177	1.004207285
178	1.003962563
179	1.003738484
180	1.003484362
181	1.003223557
182	1.003015737
183	1.002788272
184	1.002536951
185	1.002295965
186	1.002075078
187	1.001860153
188	1.001646054
189	1.001437162
190	1.001210283
191	1.001002309
192	1.000812262
193	1.000611536
194	1.00037152
195	1.000149491
196	0.9998926495
197	0.9996934197
198	0.9994917398
199	0.9992651
200	0.9990372362
201	0.998835349
202	0.9986311282
203	0.9984101088
204	0.9982213909
205	0.9980482991
206	0.99780733
207	0.9976078655
208	0.997406864
209	0.9971911812
210	0.9969803373
211	0.9968132822
212	0.9966197004
213	0.9964551204
214	0.9962088081
215	0.9960259336
216	0.9958286848
217	0.9956669196
218	0.9954880885
219	0.9953085096
220	0.9951174237
221	0.994941519
222	0.9947420414
223	0.9944927939
224	0.9943108972
225	0.994111351
226	0.9939418886
227	0.9937722535
228	0.993568012
229	0.9934033529
230	0.9932128928
231	0.9930242242
232	0.9928444049
233	0.9926724014
234	0.9924536102
235	0.9922868286
236	0.9920986457
237	0.9919311879
238	0.9917510681
239	0.99154033
240	0.9913774598
241	0.9912123251
242	0.9910430807
243	0.9908627824
244	0.9907117068
245	0.9905402535
246	0.9903745014
247	0.990202493
248	0.9900487938
249	0.9898626064
250	0.9897018454
251	0.9895542518
252	0.9894150729
253	0.9892636339
254	0.9890926749
255	0.9889148908
256	0.9887786186
257	0.9886069666
258	0.9884437415
259	0.9882545849
260	0.9880719813
261	0.9879484552
262	0.9877659024
263	0.9876095797
264	0.9874697179
265	0.9873288096
266	0.9871645944
267	0.9870315496
268	0.9868705825
269	0.9867271657
270	0.9865567103
271	0.9864243422
272	0.9862699412
273	0.9861565493
274	0.986013013
275	0.9858441032
276	0.9856406846
277	0.9854693516
278	0.9853256587
279	0.9851654205
280	0.9850063568
281	0.9848502948
282	0.984730052
283	0.9845953815
284	0.9844582419
285	0.9842940994
286	0.9841715139
287	0.9840199449
288	0.9838863734
289	0.9837487682
290	0.9836076157
291	0.9834861132
292	0.9833497131
293	0.9832027799
294	0.9830524609
295	0.9828970482
296	0.9827358575
297	0.9825920989
298	0.9824813685
299	0.9823384657
300	0.9822078584
301	0.9820828721
302	0.9819602636
303	0.9818437649
304	0.9817256471
305	0.9815856369
306	0.9813975917
307	0.9812630268
308	0.9811504224
309	0.9810103483
310	0.9808838261
311	0.9807488626
312	0.9805607357
313	0.9804539001
314	0.9803184477
315	0.9801864804
316	0.980080308
317	0.9799817421
318	0.9798283185
319	0.979678191
320	0.9795532377
321	0.9794082564
322	0.9792958302
323	0.9791391592
324	0.9790342539
325	0.9788895251
326	0.9787208909
327	0.9786012173
328	0.9784827368
329	0.9783523496
330	0.9782322485
331	0.9780901565
332	0.9779558807
333	0.9778481614
334	0.9777244417
335	0.9776087152
336	0.9774970595
337	0.9773974748
338	0.9772395424
339	0.977108054
340	0.9769420778
341	0.976822942
342	0.9766873296
343	0.9765778112
344	0.9764498538
345	0.9763079117
346	0.9762111822
347	0.9760320834
348	0.9759284112
349	0.9758357984
350	0.9757364944
351	0.9755915203
352	0.9754239074
353	0.9752952858
354	0.9752137839
355	0.9751436207
356	0.9750423496
357	0.9748990058
358	0.9747630576
359	0.9746413367
360	0.9744871678
361	0.9743990672
362	0.974236594
363	0.974146653
364	0.974030439
365	0.9739264924
366	0.9738011203
367	0.9737142341
368	0.9736052063
369	0.9734976719
370	0.9733813589
371	0.9732593526
372	0.9731120861
373	0.9730361291
374	0.9729058936
375	0.9727778701
376	0.9726482639
377	0.9725534134
378	0.9724431071
379	0.9723260197
380	0.9722441015
381	0.9721169447
382	0.9720350335
383	0.9719175061
384	0.9717614015
385	0.9716262356
386	0.9715001802
387	0.9713762242
388	0.9712769665
389	0.9711768885
390	0.9710709539
391	0.9709326957
392	0.9708468815
393	0.9707193801
394	0.9706269778
395	0.970543812
396	0.9703986567
397	0.9703027172
398	0.9702200616
399	0.9700672541
400	0.9699392233
401	0.9698705154
402	0.9697897878
403	0.9697117079
404	0.9696141954
405	0.9694783439
406	0.9693370801
407	0.9692497098
408	0.9691609742
409	0.9689994452
410	0.9688887865
411	0.9687917308
412	0.9686744766
413	0.9685597298
414	0.9684023146
415	0.9683201594
416	0.9682107334
417	0.96810848
418	0.9679907073
419	0.9678852342
420	0.967778994
421	0.967673483
