iter	Passed	Remaining
0	393	165709
1	764	160536
2	1162	162338
3	1595	166692
4	1993	166221
5	2385	165426
6	2789	165401
7	3181	164664
8	3578	164209
9	3971	163623
10	4370	163303
11	4770	163007
12	5175	162819
13	5588	162875
14	5999	162775
15	6419	162898
16	6829	162713
17	7214	161920
18	7622	161678
19	8052	161860
20	8532	162929
21	8925	162285
22	9312	161555
23	9717	161148
24	10125	160799
25	10524	160296
26	10922	159787
27	11324	159348
28	11737	159058
29	12135	158566
30	12531	158059
31	12920	157474
32	13305	156848
33	13717	156540
34	14133	156273
35	14551	156029
36	14956	155632
37	15358	155203
38	15767	154842
39	16173	154458
40	16585	154120
41	17010	153900
42	17401	153376
43	17826	153143
44	18231	152737
45	18634	152317
46	19045	151960
47	19441	151481
48	19844	151059
49	20263	150760
50	20668	150351
51	21082	150010
52	21474	149511
53	21878	149095
54	22269	148600
55	22676	148210
56	23094	147884
57	23507	147531
58	23920	147169
59	24347	146895
60	24752	146487
61	25154	146057
62	25613	145957
63	25993	145402
64	26429	145158
65	26830	144721
66	27228	144267
67	27616	143767
68	28002	143258
69	28425	142938
70	28817	142465
71	29194	141918
72	29716	142066
73	30180	141932
74	30717	142121
75	31123	141692
76	31539	141311
77	31948	140901
78	32422	140772
79	32920	140736
80	33390	140570
81	33914	140620
82	34435	140647
83	34989	140791
84	35442	140517
85	35855	140087
86	36400	140161
87	36891	140020
88	37324	139653
89	37747	139245
90	38154	138783
91	38568	138342
92	38999	137966
93	39407	137506
94	39886	137293
95	40322	136927
96	40836	136824
97	41337	136665
98	41826	136465
99	42230	135982
100	42631	135492
101	43047	135051
102	43493	134701
103	43907	134256
104	44297	133737
105	44731	133351
106	45183	133017
107	45714	132909
108	46151	132526
109	46681	132404
110	47238	132353
111	47766	132212
112	48251	131943
113	48707	131596
114	49131	131158
115	49588	130810
116	50043	130455
117	50455	129985
118	50874	129538
119	51271	129032
120	51778	128805
121	52225	128423
122	52647	127981
123	53050	127491
124	53470	127045
125	53934	126702
126	54346	126238
127	54749	125752
128	55163	125294
129	55568	124816
130	55995	124387
131	56429	123974
132	56858	123549
133	57275	123099
134	57656	122573
135	58135	122254
136	58567	121837
137	58980	121381
138	59395	120927
139	59784	120423
140	60185	119943
141	60583	119459
142	60969	118954
143	61382	118501
144	61792	118045
145	62210	117603
146	62640	117183
147	63064	116754
148	63519	116381
149	63919	115906
150	64380	115544
151	64843	115183
152	65425	115028
153	65868	114628
154	66350	114294
155	66782	113872
156	67157	113355
157	67576	112913
158	68021	112513
159	68462	112106
160	68941	111762
161	69466	111489
162	70048	111304
163	70528	110953
164	70996	110582
165	71417	110137
166	71860	109727
167	72352	109390
168	72845	109052
169	73415	108827
170	73884	108450
171	74370	108096
172	74895	107796
173	75363	107414
174	75870	107085
175	76347	106713
176	76834	106352
177	77326	105998
178	77810	105630
179	78320	105298
180	78817	104944
181	79317	104594
182	79749	104153
183	80217	103759
184	80680	103358
185	81094	102894
186	81473	102386
187	81884	101920
188	82305	101466
189	82696	100977
190	83090	100491
191	83480	100002
192	83860	99503
193	84276	99046
194	84730	98634
195	85127	98156
196	85524	97679
197	85928	97212
198	86344	96757
199	86759	96303
200	87171	95845
201	87567	95370
202	87979	94913
203	88381	94447
204	88781	93978
205	89176	93505
206	89595	93057
207	90082	92681
208	90553	92286
209	90976	91843
210	91386	91386
211	91795	90929
212	92193	90462
213	92598	90002
214	93015	89554
215	93447	89121
216	93915	88722
217	94341	88283
218	94747	87825
219	95170	87384
220	95596	86944
221	96030	86513
222	96438	86059
223	96860	85617
224	97278	85173
225	97675	84709
226	98078	84252
227	98472	83788
228	98869	83326
229	99258	82859
230	99649	82394
231	100045	81934
232	100423	81459
233	100812	80994
234	101211	80538
235	101596	80071
236	101986	79609
237	102384	79154
238	102805	78717
