Feature_Clean,LightGBM,XGBoost,CatBoost,Mean,Std,Original_Feature
BARS_FAST_p_home_win,54,0.04994149,0.5834037034843561,0.01899740546230547,0.026897631977069996,BARS_FAST_p_home_win
ED_AUTO_rating_diff,152,0.042288043,0.28359793436096414,0.016182920561792612,0.022609619706667642,ED_AUTO_rating_diff
mELO_8D_rating_diff,56,0.039138187,0.4973615338436314,0.01512451702954868,0.020879102320387276,mELO_8D_rating_diff
mELO_2D_rating_diff,130,0.03214554,0.5731740325347974,0.013602111576501583,0.01612011046036359,mELO_2D_rating_diff
mELO_4D_p_home_win,145,0.02876855,0.6354549933077298,0.012796706872552454,0.01391790723333291,mELO_4D_p_home_win
SIAM_8D_emb_diff_3,1032,0.002449921,0.5877871252028323,0.01052664624517431,0.011153092388421897,SIAM_8D_emb_diff_3
LM_gdpg_diff,568,0.009985371,0.8072927690093216,0.010285330750744354,0.002376622164139125,LM_gdpg_diff
LM_home_wr_diff,405,0.011523394,0.9477257724181121,0.01004192282804021,0.0012950179644261829,LM_home_wr_diff
MASSEY_diff,544,0.007535667,0.8814221374010587,0.009535611552590504,0.002441908550869865,MASSEY_diff
ED_p_draw,139,0.008538504,1.6629943772258147,0.009433426225300462,0.006793411021554519,ED_p_draw
mELO_4D_c_norm_diff,861,0.0025898637,0.6010610554613043,0.009333264715882065,0.008883663195602095,mELO_4D_c_norm_diff
mELO_2D_c_norm_diff,667,0.0024960372,0.9294194532949834,0.008939502863151774,0.00627364399910602,mELO_2D_c_norm_diff
SIAM_16D_emb_diff_7,876,0.002457485,0.42743462138080973,0.008823039458117415,0.009495569603904108,SIAM_16D_emb_diff_7
BARS_FAST_p_draw,163,0.004707626,1.7700259291911151,0.008693487752791983,0.007817242603799771,BARS_FAST_p_draw
SIAM_16D_emb_diff_14,813,0.002237871,0.4956153097788796,0.008503949604402894,0.008607053370042844,SIAM_16D_emb_diff_14
mELO_8D_p_home_win,403,0.010808946,0.46823147742330934,0.008190438289914457,0.0031587127677814423,mELO_8D_p_home_win
SIAM_16D_emb_diff_3,731,0.002414185,0.5422664731456105,0.008102373418619186,0.007401284264868153,SIAM_16D_emb_diff_3
BARS_SLOW_p_draw,216,0.0033136955,1.5975022951817504,0.008051815714962862,0.006905496870465489,BARS_SLOW_p_draw
LMLE_home_wr_diff,0,0.01743543,0.6049074934659576,0.007828168876962522,0.008852821643414725,LMLE_home_wr_diff
mELO_4D_rating_diff,136,0.016844088,0.32663560618164955,0.007724894196046048,0.007898101998976243,mELO_4D_rating_diff
mELO_8D_intrans,594,0.0021814546,0.7484891854179703,0.0076832831227841595,0.005603658487663238,mELO_8D_intrans
SIAM_8D_emb_diff_5,637,0.0022939176,0.6246270779410027,0.007630843583046398,0.006147290482166499,SIAM_8D_emb_diff_5
KEEN_diff,398,0.006455232,0.7451292645597933,0.007624640921891453,0.0012650217907684254,KEEN_diff
SIAM_8D_emb_diff_4,779,0.002316218,0.2827696810161481,0.0075652268347252685,0.008652376301817241,SIAM_8D_emb_diff_4
SIAM_16D_emb_diff_8,741,0.0021758627,0.3020192475573995,0.0072972123482195755,0.008150167613478566,SIAM_16D_emb_diff_8
mELO_2D_intrans,716,0.002230487,0.33571560103182013,0.007239982083458046,0.0077215524878941726,mELO_2D_intrans
SIAM_8D_emb_diff_6,665,0.0023478977,0.43205470345357805,0.00721721978213549,0.006797487705134261,SIAM_8D_emb_diff_6
SIAM_16D_emb_diff_5,593,0.0022882705,0.5972264495125728,0.007207168939979253,0.005638698190131876,SIAM_16D_emb_diff_5
SIAM_16D_emb_diff_15,573,0.002175328,0.6436160217678907,0.00717394570760081,0.005405405654695275,SIAM_16D_emb_diff_15
mELO_4D_intrans,612,0.002224843,0.5472803917114796,0.007162236860072248,0.005964346935361847,mELO_4D_intrans
SIAM_8D_emb_diff_0,631,0.0023097123,0.49312407360332683,0.007152702858988649,0.006256833684111789,SIAM_8D_emb_diff_0
LM_LONG_home_wr_diff,431,0.0050721206,0.6479923048787622,0.0070876565282769486,0.0023783673022501096,LM_LONG_home_wr_diff
SIAM_8D_emb_diff_7,595,0.0023543243,0.5339986542430598,0.007033448331506224,0.005717160908844016,SIAM_8D_emb_diff_7
BARS_FAST_mu_diff,59,0.014984501,0.4688940924594376,0.007000927038281681,0.007115113471273753,BARS_FAST_mu_diff
ED_AUTO_expected_score_diff,18,0.017297411,0.2521073549642318,0.006741349212266737,0.00920281027790798,ED_AUTO_expected_score_diff
momentum_MASSEY,103,0.0072443704,1.0546208248328566,0.006703762634446944,0.00413931217727484,momentum_MASSEY
SIAM_8D_emb_diff_1,618,0.0021519894,0.37201888905355707,0.006598809600371458,0.006392290125282813,SIAM_8D_emb_diff_1
SIAM_16D_emb_diff_6,579,0.0022149156,0.4524123120261771,0.006594858140612195,0.005704519076552993,SIAM_16D_emb_diff_6
LM_LONG_gdpg_diff,367,0.0064541707,0.47602683700194615,0.00649445720638796,0.0017546785944017374,LM_LONG_gdpg_diff
ED_AUTO_draw_tendency,542,0.0021961383,0.4771987154948877,0.00639333620130686,0.005200996400287937,ED_AUTO_draw_tendency
ED_HOME_p_draw,405,0.0025900083,0.7269785865363225,0.0063283033196976125,0.0033677436697103205,ED_HOME_p_draw
SIAM_16D_euclidean_dist,540,0.002272137,0.3960127002318139,0.006133028292592698,0.005293138466759064,SIAM_16D_euclidean_dist
SIAM_16D_emb_diff_0,491,0.0022334442,0.5087944136987033,0.00612806098792236,0.004505633891936157,SIAM_16D_emb_diff_0
KEEN_NL_diff,342,0.0038773022,0.6247453346156675,0.005943469679934849,0.0019321933959274894,KEEN_NL_diff
SIAM_16D_emb_diff_13,515,0.0025634444,0.36192552725130583,0.00592874730221427,0.004942788103737586,SIAM_16D_emb_diff_13
SIAM_8D_emb_diff_2,600,0.0022654613,0.1970825660167329,0.005918325591150741,0.006583756696652018,SIAM_8D_emb_diff_2
SIAM_16D_emb_diff_10,510,0.0022136925,0.39924263175610203,0.00589900175231933,0.004923703035294997,SIAM_16D_emb_diff_10
SIAM_16D_cosine_sim,546,0.0023329724,0.303669948035216,0.0058905598821685215,0.005563614250436076,SIAM_16D_cosine_sim
PR_GOL_diff,384,0.003590394,0.5337805979789216,0.005860053929546773,0.002570879610381207,PR_GOL_diff
BARS_SLOW_surprise_diff,391,0.0025881003,0.6124401560240268,0.005840727172074236,0.0031204749772085123,BARS_SLOW_surprise_diff
BARS_mu_diff,25,0.010376968,0.6541771980941905,0.005827340123954405,0.004945699349199237,BARS_mu_diff
ED_AUTO_p_draw,349,0.002325898,0.7211332304301556,0.005800200576163777,0.0030264452431533156,ED_AUTO_p_draw
BARS_p_draw,174,0.0027785439,1.0465330360717917,0.00572143151014233,0.0041478189822115,BARS_p_draw
BARS_kurtosis_diff,474,0.002270675,0.4172725732108865,0.005707721936354629,0.004409688928941995,BARS_kurtosis_diff
LNET_score_diff,265,0.007089025,0.4062090120892101,0.00570729013649113,0.0015305701261151333,LNET_score_diff
RN_gdpg_diff,87,0.0078400485,0.7309144325374242,0.005703134590683233,0.003252318940014663,RN_gdpg_diff
mELO_8D_c_norm_diff,391,0.0021749523,0.6033724741777744,0.005672785561020996,0.0033320575956121415,mELO_8D_c_norm_diff
RN_DEEP_gdpg_diff,9,0.012364503,0.41303031688314823,0.005565862660942299,0.006206650201426775,RN_DEEP_gdpg_diff
SIAM_16D_emb_diff_11,486,0.002199888,0.3528401367978554,0.005559476064444475,0.004715471177854498,SIAM_16D_emb_diff_11
SIAM_16D_emb_diff_12,531,0.0022165843,0.23797612400673754,0.005520128690665237,0.005581187520749653,SIAM_16D_emb_diff_12
KEEN_LAP_diff,74,0.0066415253,0.8197383587729278,0.005502071579408109,0.003410901476922867,KEEN_LAP_diff
SIAM_8D_euclidean_dist,439,0.0022633772,0.431934663568804,0.0054912995473636594,0.0039466349383509075,SIAM_8D_euclidean_dist
SIAM_16D_emb_diff_4,520,0.0024931184,0.221337410830164,0.005474230150121048,0.005407511710376871,SIAM_16D_emb_diff_4
LM_dr_diff,335,0.0023861553,0.6396881374250808,0.0054436573280994644,0.0027096990208036894,LM_dr_diff
ED_AUTO_p_home_win,207,0.0062650517,0.5246764854891863,0.005391921724216334,0.0008103621375338104,ED_AUTO_p_home_win
LM_gpg_diff,350,0.0032188531,0.4937115846715962,0.0053472905460026365,0.002360406410218014,LM_gpg_diff
ED_rating_diff,86,0.008553283,0.5191676314019323,0.005227546487907616,0.0033079485981683,ED_rating_diff
RLHF_DEEP_reward_abs,193,0.0023570997,0.861250999463146,0.005106040588041427,0.0031957669000115545,RLHF_DEEP_reward_abs
PR_diff,429,0.0022676976,0.33726006235850403,0.005102053847595797,0.003990797964455637,PR_diff
LM_LONG_gpg_diff,325,0.003375613,0.44148720394837004,0.005037702955570898,0.002045888852109837,LM_LONG_gpg_diff
SIAM_16D_emb_diff_9,397,0.0023479792,0.3653239486315525,0.004982028424262967,0.0034934207864568577,SIAM_16D_emb_diff_9
BARS_SLOW_ordinal_diff,50,0.0077064484,0.5760586217419316,0.00486453101252646,0.0033802263999070364,BARS_SLOW_ordinal_diff
PR_DEC_diff,289,0.0032865806,0.46928335338100124,0.004830305544155574,0.0016168497485857833,PR_DEC_diff
RN_cs_diff,383,0.0024128945,0.31704250739308554,0.004737583352224753,0.0033916540022618778,RN_cs_diff
LM_away_wr_diff,342,0.0025043592,0.4002462167622813,0.004737491587930125,0.002677417560765807,LM_away_wr_diff
