league,bin_idx,bin_start,bin_end,n,avg_pred,actual_rate,hits,target_mode,outcome,calib_gap
ALL,5,0.25,0.3,2,0.28697161003350746,0.0,0.0,BTTS,NO,0.28697161003350746
ALL,6,0.30000000000000004,0.35000000000000003,39,0.3377126129025486,0.5641025641025641,22.0,BTTS,NO,-0.22638995120001548
ALL,7,0.35000000000000003,0.4,573,0.38389244488621915,0.38917975567190227,223.0,BTTS,NO,-0.005287310785683119
ALL,8,0.4,0.45,3395,0.43080761411006313,0.43475699558173786,1476.0,BTTS,NO,-0.003949381471674729
ALL,9,0.45,0.5,7798,0.47278275583353335,0.45704026673506026,3564.0,BTTS,NO,0.01574248909847309
ALL,10,0.5,0.55,5886,0.522205394446513,0.48759768943255183,2870.0,BTTS,NO,0.03460770501396121
ALL,11,0.55,0.6000000000000001,1028,0.5663167119229724,0.5233463035019456,538.0,BTTS,NO,0.04297040842102684
ALL,12,0.6000000000000001,0.6500000000000001,95,0.6149711904801143,0.49473684210526314,47.0,BTTS,NO,0.12023434837485114
ALL,13,0.65,0.7000000000000001,6,0.6704457720605804,0.6666666666666666,4.0,BTTS,NO,0.0037791053939137953
Belgium/First_Division_A,8,0.4,0.45,266,0.446036240929965,0.44360902255639095,118.0,BTTS,NO,0.0024272183735740693
Belgium/First_Division_A,9,0.45,0.5,614,0.45661049207378823,0.46254071661237783,284.0,BTTS,NO,-0.005930224538589601
England/Championship,7,0.35000000000000003,0.4,14,0.38692496721515657,0.42857142857142855,6.0,BTTS,NO,-0.04164646135627198
England/Championship,8,0.4,0.45,224,0.43370786010718454,0.4017857142857143,90.0,BTTS,NO,0.03192214582147024
England/Championship,9,0.45,0.5,673,0.47655002534101715,0.4799405646359584,323.0,BTTS,NO,-0.003390539294941264
England/Championship,10,0.5,0.55,563,0.5219345314091653,0.4689165186500888,264.0,BTTS,NO,0.05301801275907653
England/Championship,11,0.55,0.6000000000000001,127,0.5656834504418238,0.5905511811023622,75.0,BTTS,NO,-0.02486773066053838
England/Championship,12,0.6000000000000001,0.6500000000000001,7,0.6049678585283467,0.42857142857142855,3.0,BTTS,NO,0.17639642995691812
England/League_One,6,0.30000000000000004,0.35000000000000003,2,0.32895958862805236,0.5,1.0,BTTS,NO,-0.17104041137194764
England/League_One,7,0.35000000000000003,0.4,19,0.38916038966593386,0.5263157894736842,10.0,BTTS,NO,-0.13715539980775032
England/League_One,8,0.4,0.45,306,0.43177862063197453,0.5196078431372549,159.0,BTTS,NO,-0.08782922250528041
England/League_One,9,0.45,0.5,734,0.4753665715613066,0.45776566757493187,336.0,BTTS,NO,0.017600903986374705
England/League_One,10,0.5,0.55,476,0.520023069876561,0.4957983193277311,236.0,BTTS,NO,0.024224750548829888
England/League_One,11,0.55,0.6000000000000001,72,0.5634780180057207,0.5555555555555556,40.0,BTTS,NO,0.007922462450165146
England/League_One,12,0.6000000000000001,0.6500000000000001,2,0.6106547356536786,0.5,1.0,BTTS,NO,0.11065473565367856
England/League_Two,7,0.35000000000000003,0.4,13,0.38998926856222255,0.3076923076923077,4.0,BTTS,NO,0.08229696086991484
England/League_Two,8,0.4,0.45,247,0.4346713010453287,0.48582995951417,120.0,BTTS,NO,-0.05115865846884132
England/League_Two,9,0.45,0.5,900,0.47698099898690605,0.4588888888888889,413.0,BTTS,NO,0.018092110098017145
England/League_Two,10,0.5,0.55,440,0.5171658384004548,0.475,209.0,BTTS,NO,0.04216583840045485
England/League_Two,11,0.55,0.6000000000000001,19,0.5606961053361963,0.47368421052631576,9.0,BTTS,NO,0.08701189480988053
England/Premier_League,6,0.30000000000000004,0.35000000000000003,2,0.3365663341067272,1.0,2.0,BTTS,NO,-0.6634336658932728
England/Premier_League,7,0.35000000000000003,0.4,28,0.388711577226284,0.2857142857142857,8.0,BTTS,NO,0.10299729151199832
England/Premier_League,8,0.4,0.45,236,0.430694977169226,0.3940677966101695,93.0,BTTS,NO,0.036627180559056505
England/Premier_League,9,0.45,0.5,394,0.4755942919744758,0.41624365482233505,164.0,BTTS,NO,0.05935063715214073
England/Premier_League,10,0.5,0.55,307,0.5206388382402075,0.43973941368078173,135.0,BTTS,NO,0.08089942455942578
England/Premier_League,11,0.55,0.6000000000000001,93,0.5687825826360933,0.43010752688172044,40.0,BTTS,NO,0.13867505575437283
England/Premier_League,12,0.6000000000000001,0.6500000000000001,18,0.6201843316214587,0.4444444444444444,8.0,BTTS,NO,0.17573988717701428
England/Premier_League,13,0.65,0.7000000000000001,1,0.6622283475329926,0.0,0.0,BTTS,NO,0.6622283475329926
France/Ligue_1,6,0.30000000000000004,0.35000000000000003,2,0.34172699862982964,0.5,1.0,BTTS,NO,-0.15827300137017036
France/Ligue_1,7,0.35000000000000003,0.4,36,0.378796666803324,0.3333333333333333,12.0,BTTS,NO,0.04546333346999071
France/Ligue_1,8,0.4,0.45,135,0.4292206144423095,0.4222222222222222,57.0,BTTS,NO,0.006998392220087302
