time,liga,mecz,target,typ,prob,acc,score
17:30,Germany/Bundesliga_1,Dortmund vs Freiburg,FOULSOU,UNDER 29.0,0.9225935738680096,0.9434628975265018,0.870432806440843
15:30,Germany/Bundesliga_1,Stuttgart vs Werder Bremen,FOULSOU,UNDER 29.0,0.8885338306127111,0.9434628975265018,0.8382987023801903
,Spain/Segunda_Division,Cordoba vs Sp Gijon,CRD25,OVER 2.5,0.9072424638687108,0.8883116883116883,0.8059140847872703
16:15,Spain/Segunda_Division,Granada vs Almeria,CRD25,OVER 2.5,0.8951920989856464,0.8883116883116883,0.7952096048132236
18:30,Spain/Segunda_Division,Huesca vs Zaragoza,CRD25,OVER 2.5,0.8928138576310262,0.8883116883116883,0.7930969852202882
16:15,Spain/Segunda_Division,Mirandes vs Cultural Leonesa,CRD25,OVER 2.5,0.8819832840559817,0.8883116883116883,0.7834760601224564
18:30,Spain/Segunda_Division,Leganés vs FC Andorra,CRD25,OVER 2.5,0.8169494574704825,0.8883116883116883,0.7257057518309221
13:30,Germany/Bundesliga_2,Bochum vs Greuther Furth,CRD25,OVER 2.5,0.805992553859266,0.8467432950191571,0.6824687908157004
13:30,Germany/Bundesliga_2,Paderborn vs Schalke 04,CRD25,OVER 2.5,0.7930391329080863,0.8467432950191571,0.6715005684777282
13:30,Turkey/Super_Lig,Gençlerbirliği vs Kocaelispor,CRD25,OVER 2.5,0.7992559511061881,0.8352490421455939,0.6675777675906093
19:00,Turkey/Super_Lig,Galatasaray vs Fenerbahce,CRD25,OVER 2.5,0.7977917552474139,0.8352490421455939,0.6663547994020546
18:30,Belgium/First_Division_A,RSC Anderlecht vs Royale Union Saint-Gilloise,CRD25,OVER 2.5,0.8899733829622783,0.74609375,0.6640035786945123
19:15,Belgium/First_Division_A,SV Zulte Waregem vs RAAL La Louvière,CRD25,OVER 2.5,0.8899733829622783,0.74609375,0.6640035786945123
21:00,Spain/Segunda_Division,Ceuta vs Racing Santander,CRD25,OVER 2.5,0.745926051117189,0.8883116883116883,0.6626148298235809
18:00,Italy/Serie_A,Torino vs Inter,FOULSOU,UNDER 29.0,0.8680462066799406,0.7542857142857143,0.6547548530385838
13:30,Germany/Bundesliga_2,Nurnberg vs Magdeburg,CRD25,OVER 2.5,0.7652565242512682,0.8467432950191571,0.6479758308794263
16:00,Belgium/First_Division_A,Mechelen vs Sint-Truidense VV,CRD25,OVER 2.5,0.8664627723127365,0.74609375,0.6464624590302057
20:45,Italy/Serie_A,Milan vs Juventus,FOULSOU,UNDER 29.0,0.8384320035382403,0.7542857142857143,0.6324172826688442
20:45,Italy/Serie_A,Milan vs Juventus,CRD25,OVER 2.5,0.8353795095568985,0.7557142857142857,0.6313082293651419
15:00,Italy/Serie_A,Genoa vs Como,CRD25,OVER 2.5,0.8255257867062633,0.7557142857142857,0.6238616302394475
12:30,Italy/Serie_A,Fiorentina vs Sassuolo,FOULSOU,UNDER 29.0,0.8184725670265942,0.7542857142857143,0.6173621648429168
15:00,Italy/Serie_A,Genoa vs Como,FOULSOU,UNDER 29.0,0.8073649126442379,0.7542857142857143,0.6089838198230824
18:00,Italy/Serie_A,Torino vs Inter,CRD25,OVER 2.5,0.7950160728637451,0.7557142857142857,0.6008050036356016
16:00,Scotland/Premiership,Rangers vs Motherwell,AGOOU,UNDER 1.0,0.8307969872580184,0.6865443425076453,0.5703789713743889
18:00,Italy/Serie_A,Torino vs Inter,AGOOU,OVER 0.0,0.8207119934921898,0.6898148148148148,0.5661392918071124
